model,split,n_months,MASE,WAPE,RMSE
chronos2_user_method,all_test,24,0.3871416321049274,0.0168219825147859,2979.670768908069
seasonal_naive,all_test,24,0.4452342891068579,0.019346210289026,3619.926400619226
lagged_gt_gradient_boosting,all_test,24,0.6150302959283929,0.0267241444117457,4958.938261589739
gradient_boosting,all_test,24,0.6926050365947036,0.030094902870304,5369.196771238071
lagged_gt_extra_trees,all_test,24,0.7090363202540012,0.0308088709468173,5672.180530987966
extra_trees,all_test,24,0.7188643041366423,0.0312359140734645,5724.281067349453
lagged_gt_random_forest,all_test,24,0.7524465762835287,0.0326951226628125,5466.649063195739
knn,all_test,24,0.761201542245504,0.0330755412799711,5836.707091003176
random_forest,all_test,24,0.765974547148482,0.0332829367093501,5620.026790391647
lagged_gt_knn,all_test,24,0.7721785480898236,0.0335525114249123,5857.678649048819
lagged_gt_hist_gradient_boosting,all_test,24,0.8141495026154906,0.0353762229676902,6682.761600775511
hist_gradient_boosting,all_test,24,0.8188729333776618,0.0355814643137553,6726.993682207956
lasso,all_test,24,1.018227391871315,0.0442437649730549,9157.602183754889
ridge,all_test,24,1.126331253285588,0.0489410672409724,9934.261772469345
lagged_gt_elastic_net,all_test,24,1.3514450107288585,0.058722654591728,10314.576821537754
elastic_net,all_test,24,1.4255410926864516,0.061942259231838,10704.247346041187
lagged_gt_lasso,all_test,24,1.589286279126428,0.0690572746028201,14025.606510485955
lagged_gt_ridge,all_test,24,1.664925024896409,0.0723439106896311,14958.898215354378
svr_rbf,all_test,24,3.338826420020383,0.1450778603998484,24883.931741319
lagged_gt_svr_rbf,all_test,24,3.339035068050244,0.1450869265224738,24884.952501657237
seasonal_naive,event_months,10,0.4086807461947352,0.0158902351640194,3322.4864423035788
lagged_gt_gradient_boosting,event_months,10,0.6293342031912902,0.0244696344973034,4705.408713567192
knn,event_months,10,0.6963090325307804,0.0270737351264225,5526.841608091167
gradient_boosting,event_months,10,0.7153092685302778,0.0278124981364617,5116.954769331651
lagged_gt_knn,event_months,10,0.7604443595080559,0.0295674308472984,5742.359554455489
lagged_gt_extra_trees,event_months,10,0.831855818806365,0.0323440355496771,6608.303088918641
extra_trees,event_months,10,0.8444545366888103,0.0328338961359202,6651.839399848792
lagged_gt_random_forest,event_months,10,0.8608905518802417,0.0334729576747449,6131.886411325618
random_forest,event_months,10,0.874940212331864,0.0340192334918212,6368.719832544047
lagged_gt_hist_gradient_boosting,event_months,10,1.0875981151512166,0.0422877514407352,8584.34040175168
hist_gradient_boosting,event_months,10,1.0988857807651646,0.0427266359801428,8648.120086439152
lagged_gt_elastic_net,event_months,10,1.2216085592000934,0.0474983161423975,9463.603958098118
elastic_net,event_months,10,1.353769762856248,0.0526369790845844,10439.868419531793
lasso,event_months,10,1.4046071028904994,0.0546136253929293,12078.87734777892
ridge,event_months,10,1.5208131092412838,0.0591319218519106,12843.43730776258
lagged_gt_lasso,event_months,10,2.224345453975589,0.0864865122196086,19074.449474284684
lagged_gt_ridge,event_months,10,2.25127389959061,0.087533538137537,20136.99761177501
svr_rbf,event_months,10,3.881391747126372,0.1509154228570726,29433.67036379708
lagged_gt_svr_rbf,event_months,10,3.881459589110085,0.1509180606742079,29433.96319051149
seasonal_naive,normal_months,14,0.471343962615517,0.022357733797412,3818.223688619492
lagged_gt_gradient_boosting,normal_months,14,0.6048132193120378,0.0286887157300127,5132.368826220691
lagged_gt_hist_gradient_boosting,normal_months,14,0.618829065089972,0.0293535434857556,4891.057885685219
hist_gradient_boosting,normal_months,14,0.6188637566723024,0.0293551890465865,4914.692591145562
lagged_gt_extra_trees,normal_months,14,0.6213081070023126,0.0294711343823085,4895.1176133304925
extra_trees,normal_months,14,0.6291569951708079,0.0298434386148759,4956.581308138
lagged_gt_random_forest,normal_months,14,0.674986593714448,0.0320173202078323,4936.899966501064
gradient_boosting,normal_months,14,0.6763877280692934,0.0320837816275272,5542.345520269377
random_forest,normal_months,14,0.6881419291603521,0.0326413305086815,5017.305081550094
lasso,normal_months,14,0.7422418840004689,0.0352075082572104,6288.8080083080185
lagged_gt_knn,normal_months,14,0.7805601113625148,0.0370250954014169,5938.678588024654
knn,normal_months,14,0.8075533348988782,0.0383054922114474,6048.32804747799
ridge,normal_months,14,0.8445584990315198,0.040060795502522,7166.442374759204
lagged_gt_lasso,normal_months,14,1.1356725828055985,0.0538695035924303,8794.791820070368
lagged_gt_ridge,normal_months,14,1.246104400114837,0.0591077274162038,9693.372299262945
lagged_gt_elastic_net,normal_months,14,1.4441853332494052,0.0685035001949424,10881.747107034624
elastic_net,normal_months,14,1.476806328279454,0.0700508447690437,10889.160218552024
svr_rbf,normal_months,14,2.951279757801821,0.1399910307972863,21040.151925904996
lagged_gt_svr_rbf,normal_months,14,2.9515889815789293,0.1400056985207341,21041.92884496134
