month,beer_domestic_volume,beer_value,beer_domestic_volume_unit,beer_domestic_volume_imputed,cass_fresh_share,cass_light_share,cass_fresh_volume,cass_light_volume,nonalc_market_value,cass_0_0_scn_base,cass_0_0_scn_low,cass_0_0_scn_high,temp_avg,heatwave_days,tropical_night_days,kbo_games,world_cup_dummy,holiday_days,import_beer_price_yoy,ob_price_hike_dummy
2020-01,102828.25,,kL,0,38.0,1.5,39074.74,1542.42,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,-0.16,0,0,0,0,5.0,0.0,0
2020-02,102828.25,,kL,0,38.0,1.5,39074.74,1542.42,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,0.8,0,0,0,0,0.0,0.0,0
2020-03,110263.28,,kL,0,38.0,1.5,41900.05,1653.95,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,5.45,0,0,0,0,1.0,0.0,0
2020-04,123141.13,,kL,0,38.0,1.5,46793.63,1847.12,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,9.61,0,0,0,0,2.0,0.0,0
2020-05,138011.2,,kL,0,38.0,1.5,52444.26,2070.17,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,16.52,0,0,117,0,1.0,0.0,0
2020-06,150889.05,,kL,0,38.0,1.5,57337.84,2263.34,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,22.22,1,0,121,0,0.0,0.0,0
2020-07,158324.08,,kL,0,38.0,1.5,60163.15,2374.86,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,22.65,0,0,116,0,0.0,0.0,0
2020-08,158324.08,,kL,0,37.92,1.5,60036.49,2374.86,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,25.36,0,2,119,0,1.0,0.0,0
2020-09,150889.05,,kL,0,37.85,1.5,57111.51,2263.34,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,19.57,0,0,128,0,1.0,0.0,0
2020-10,138011.2,,kL,0,37.78,1.5,52140.63,2070.17,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,12.57,0,0,119,0,4.0,0.0,0
2020-11,123141.13,,kL,0,37.7,1.5,46424.21,1847.12,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,6.24,0,0,0,0,0.0,0.0,0
2020-12,110263.28,,kL,0,37.62,1.5,41481.05,1653.95,6.666666666666667,24.999999999999996,16.666666666666668,41.666666666666664,-2.17,0,0,0,0,1.0,0.0,0
2021-01,100994.3,,kL,0,37.55,1.5,37923.36,1514.91,15.0,56.25,37.5,93.75,-3.87,0,0,0,0,1.0,-1.66,0
2021-02,100994.3,,kL,0,37.48,1.5,37852.66,1514.91,15.0,56.25,37.5,93.75,0.48,0,0,0,0,3.0,-1.66,0
