month,kbo_games
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,117
2020-06,121
2020-07,116
2020-08,119
2020-09,128
2020-10,119
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,116
2021-05,113
2021-06,123
2021-07,33
2021-08,81
2021-09,132
2021-10,122
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,123
2022-05,129
2022-06,117
2022-07,95
2022-08,109
2022-09,119
2022-10,28
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,120
2023-05,113
2023-06,121
2023-07,83
2023-08,113
2023-09,110
2023-10,60
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,37
2024-04,121
2024-05,122
2024-06,125
2024-07,97
2024-08,119
2024-09,98
2024-10,1
2024-11,0
2024-12,0
2025-01,0
2025-02,0
2025-03,39
2025-04,114
2025-05,131
2025-06,111
2025-07,100
2025-08,127
2025-09,91
2025-10,7
2025-11,0
2025-12,0
