month,timestamp,prediction,model,q025,q100,q500,q900,q975,actual
2024-01,2024-01-01,113358.7,chronos2_univariate,102568.805,110418.12,113358.7,115768.83,119002.72,112628.9
2024-02,2024-02-01,113590.2,chronos2_univariate,101075.34,110154.766,113590.2,116927.984,120813.336,112628.9
2024-03,2024-03-01,122151.84,chronos2_univariate,108668.305,117430.375,122151.84,126088.49,130178.586,120772.58
2024-04,2024-04-01,136401.95,chronos2_univariate,123534.15,131507.98,136401.95,140519.0,144139.02,134877.83
2024-05,2024-05-01,152845.34,chronos2_univariate,137945.72,147031.94,152845.34,158424.5,163219.75,151165.17
2024-06,2024-06-01,166825.02,chronos2_univariate,147945.72,159807.69,166825.02,172616.23,177843.02,165270.42
2024-07,2024-07-01,174048.03,chronos2_univariate,152191.64,166051.55,174048.03,180388.83,186298.94,173414.1
2024-08,2024-08-01,173867.47,chronos2_univariate,150659.02,165225.72,173867.47,180674.05,187251.56,173414.1
2024-09,2024-09-01,164743.31,chronos2_univariate,141888.67,155096.08,164743.31,171521.45,178379.08,165270.42
2024-10,2024-10-01,149471.94,chronos2_univariate,129168.086,141092.61,149471.94,156814.48,163939.4,151165.17
2024-11,2024-11-01,132180.28,chronos2_univariate,108293.016,122816.93,132180.28,139477.0,146035.14,134877.83
2024-12,2024-12-01,118931.19,chronos2_univariate,94591.32,110036.22,118931.19,126010.64,133052.61,120772.58
2025-01,2025-01-01,111932.59,chronos2_univariate,88005.7,103838.83,111932.59,118978.37,127296.14,113192.03
2025-02,2025-02-01,112500.16,chronos2_univariate,87600.836,103814.01,112500.16,120374.43,128189.62,113192.03
2025-03,2025-03-01,121144.39,chronos2_univariate,96411.53,110992.92,121144.39,130144.59,137458.3,121376.42
2025-04,2025-04-01,136103.53,chronos2_univariate,110339.68,124637.95,136103.53,145273.28,152565.61,135552.19
2025-05,2025-05-01,152775.61,chronos2_univariate,123941.336,139603.02,152775.61,162757.72,176809.47,151920.97
2025-06,2025-06-01,166393.83,chronos2_univariate,135594.31,151770.38,166393.83,177861.16,195340.97,166096.75
2025-07,2025-07-01,174174.22,chronos2_univariate,141571.1,159524.89,174174.22,185847.88,205594.12,174281.14
2025-08,2025-08-01,173337.34,chronos2_univariate,138939.44,156988.61,173337.34,184658.83,204041.55,174281.14
2025-09,2025-09-01,162602.89,chronos2_univariate,130408.82,146575.75,162602.89,174735.86,192931.69,166096.75
2025-10,2025-10-01,147717.0,chronos2_univariate,114901.36,132359.14,147717.0,159697.92,175552.45,151920.97
2025-11,2025-11-01,130000.42,chronos2_univariate,95584.74,115656.24,130000.42,142784.9,157517.22,135552.19
2025-12,2025-12-01,116893.984,chronos2_univariate,80463.375,103272.77,116893.984,130119.21,143709.6,121376.42
