month,timestamp,prediction,model,q025,q100,q500,q900,q975,actual
2024-01,2024-01-01,114418.805,chronos2_covariate,100998.28,111027.06,114418.805,117309.01,124122.28,112628.9
2024-02,2024-02-01,114491.555,chronos2_covariate,99005.8,110416.66,114491.555,117967.87,125171.2,112628.9
2024-03,2024-03-01,121220.3,chronos2_covariate,106085.91,116541.5,121220.3,125370.27,132634.69,120772.58
2024-04,2024-04-01,134951.17,chronos2_covariate,121460.83,130318.29,134951.17,139083.88,146489.64,134877.83
2024-05,2024-05-01,149548.72,chronos2_covariate,134551.12,144093.94,149548.72,155083.53,165204.89,151165.17
2024-06,2024-06-01,163097.72,chronos2_covariate,144527.52,156562.14,163097.72,169327.39,182041.66,165270.42
2024-07,2024-07-01,170248.47,chronos2_covariate,148684.48,162618.52,170248.47,176681.77,191880.2,173414.1
2024-08,2024-08-01,171162.84,chronos2_covariate,148459.52,163085.73,171162.84,178371.64,195730.53,173414.1
2024-09,2024-09-01,163078.86,chronos2_covariate,141591.78,154533.08,163078.86,169868.47,186401.73,165270.42
2024-10,2024-10-01,147511.48,chronos2_covariate,128746.39,140177.16,147511.48,154768.2,168963.1,151165.17
2024-11,2024-11-01,130549.52,chronos2_covariate,108527.42,122668.875,130549.52,137524.75,148828.31,134877.83
2024-12,2024-12-01,117175.64,chronos2_covariate,92059.25,108938.91,117175.64,124040.59,135284.3,120772.58
2025-01,2025-01-01,109767.11,chronos2_covariate,83913.06,102109.44,109767.11,116840.88,129382.86,113192.03
2025-02,2025-02-01,109005.58,chronos2_covariate,81416.31,100804.29,109005.58,116116.05,128920.4,113192.03
2025-03,2025-03-01,116884.06,chronos2_covariate,90845.32,107647.5,116884.06,125725.36,137737.58,121376.42
2025-04,2025-04-01,131079.33,chronos2_covariate,105852.086,121127.766,131079.33,140405.53,153559.48,135552.19
2025-05,2025-05-01,144873.28,chronos2_covariate,124196.51,135802.89,144873.28,154961.27,171727.69,151920.97
2025-06,2025-06-01,159879.69,chronos2_covariate,137136.48,149497.11,159879.69,171191.03,192006.02,166096.75
2025-07,2025-07-01,168297.53,chronos2_covariate,143794.67,158157.66,168297.53,179431.44,202296.9,174281.14
2025-08,2025-08-01,168447.72,chronos2_covariate,143479.62,157771.81,168447.72,179436.39,202604.22,174281.14
2025-09,2025-09-01,159017.14,chronos2_covariate,135425.56,148167.88,159017.14,169965.25,190990.62,166096.75
2025-10,2025-10-01,143957.88,chronos2_covariate,121802.89,134225.36,143957.88,154261.55,171921.98,151920.97
2025-11,2025-11-01,128128.766,chronos2_covariate,103803.8,118798.29,128128.766,138312.92,152485.92,135552.19
2025-12,2025-12-01,114627.375,chronos2_covariate,86763.51,104973.09,114627.375,124251.0,137760.2,121376.42
