month,timestamp,prediction,model,q025,q100,q500,q900,q975
2026-01,2026-01-01,115066.33,chronos2_covariate_projected,98844.82,111647.375,115066.33,117700.86,119642.53
2026-02,2026-02-01,115163.89,chronos2_covariate_projected,98584.34,111566.25,115163.89,117751.58,120251.555
2026-03,2026-03-01,122795.11,chronos2_covariate_projected,106950.98,118925.64,122795.11,124884.805,127554.27
2026-04,2026-04-01,135821.34,chronos2_covariate_projected,122286.234,132203.73,135821.34,137805.05,139919.73
2026-05,2026-05-01,152441.88,chronos2_covariate_projected,138452.22,148565.39,152441.88,154590.12,157156.94
2026-06,2026-06-01,165911.9,chronos2_covariate_projected,148294.44,160733.83,165911.9,168429.81,171922.61
2026-07,2026-07-01,173734.06,chronos2_covariate_projected,153046.97,167194.2,173734.06,176727.75,180574.56
2026-08,2026-08-01,174322.44,chronos2_covariate_projected,152353.69,167573.34,174322.44,177382.47,181172.25
2026-09,2026-09-01,165586.77,chronos2_covariate_projected,146266.1,160110.08,165586.77,168424.23,172188.48
2026-10,2026-10-01,151563.86,chronos2_covariate_projected,134847.14,146980.83,151563.86,153802.75,156570.73
2026-11,2026-11-01,135224.0,chronos2_covariate_projected,115485.805,129974.94,135224.0,137203.78,139735.12
2026-12,2026-12-01,121619.78,chronos2_covariate_projected,98587.45,116150.78,121619.78,124263.766,127536.06
