month,timestamp,prediction,model,q025,q100,q500,q900,q975
2026-01,2026-01-01,114180.164,chronos2_univariate,97438.84,110497.39,114180.164,116878.95,119546.195
2026-02,2026-02-01,113296.08,chronos2_univariate,95771.78,109492.87,113296.08,116052.14,119175.23
2026-03,2026-03-01,121567.81,chronos2_univariate,104488.89,117299.305,121567.81,123947.83,127173.73
2026-04,2026-04-01,135750.1,chronos2_univariate,121222.24,131671.94,135750.1,138061.94,140678.89
2026-05,2026-05-01,152678.97,chronos2_univariate,137896.81,148282.81,152678.97,155091.44,158328.69
2026-06,2026-06-01,166656.73,chronos2_univariate,148010.34,160652.5,166656.73,169357.48,173667.11
2026-07,2026-07-01,174498.52,chronos2_univariate,152389.4,166895.16,174498.52,177855.16,182542.9
2026-08,2026-08-01,175865.81,chronos2_univariate,152215.42,167896.31,175865.81,179301.5,184170.27
2026-09,2026-09-01,167364.0,chronos2_univariate,145952.53,160676.1,167364.0,170467.61,175147.66
2026-10,2026-10-01,152830.77,chronos2_univariate,133928.77,146825.47,152830.77,155745.58,159554.98
2026-11,2026-11-01,136020.33,chronos2_univariate,113624.016,129373.164,136020.33,138763.89,142187.42
2026-12,2026-12-01,121731.45,chronos2_univariate,96407.33,115146.83,121731.45,125057.86,129362.06
