month,timestamp,prediction,model,q025,q100,q500,q900,q975,actual,origin_month,horizon
2023-01,2023-01-01,112931.484,chronos2_rolling,97480.11,109138.18,112931.484,116590.28,122565.86,112029.82,2022-12,1
2023-02,2023-02-01,113878.67,chronos2_rolling,96659.336,109202.99,113878.67,118637.98,125298.03,112029.82,2022-12,2
2023-03,2023-03-01,121621.02,chronos2_rolling,103748.38,115713.984,121621.02,127370.484,134439.17,120130.17,2022-12,3
2023-07,2023-07-01,172549.16,chronos2_rolling,157180.25,166847.5,172549.16,177536.78,183444.95,172491.68,2023-06,1
2023-08,2023-08-01,172288.08,chronos2_rolling,153951.0,165313.69,172288.08,178174.8,184941.02,172491.68,2023-06,2
2023-09,2023-09-01,162985.77,chronos2_rolling,145357.77,155695.86,162985.77,169239.06,176350.72,164391.33,2023-06,3
2024-01,2024-01-01,113243.11,chronos2_rolling,103586.305,110189.625,113243.11,115658.68,118871.664,112628.9,2023-12,1
2024-02,2024-02-01,112950.93,chronos2_rolling,101897.17,109599.67,112950.93,116374.195,120278.05,112628.9,2023-12,2
2024-03,2024-03-01,121261.12,chronos2_rolling,109290.15,116796.65,121261.12,125394.68,129469.484,120772.58,2023-12,3
2024-07,2024-07-01,173895.56,chronos2_rolling,162062.42,169312.28,173895.56,177540.56,181432.55,173414.1,2024-06,1
2024-08,2024-08-01,172620.98,chronos2_rolling,160276.52,168352.22,172620.98,177187.34,181184.16,173414.1,2024-06,2
2024-09,2024-09-01,164579.42,chronos2_rolling,152589.52,160420.38,164579.42,168094.08,171966.77,165270.42,2024-06,3
2025-01,2025-01-01,113315.82,chronos2_rolling,105816.62,110589.305,113315.82,116128.0,118351.2,113192.03,2024-12,1
2025-02,2025-02-01,112712.12,chronos2_rolling,104486.33,109817.625,112712.12,115662.87,118331.6,113192.03,2024-12,2
2025-03,2025-03-01,120571.96,chronos2_rolling,112096.82,117144.61,120571.96,123388.16,126347.07,121376.42,2024-12,3
2025-07,2025-07-01,176012.44,chronos2_rolling,159725.06,171038.75,176012.44,179294.8,184320.81,174281.14,2025-06,1
2025-08,2025-08-01,174807.06,chronos2_rolling,157835.66,170011.47,174807.06,178996.48,184228.94,174281.14,2025-06,2
2025-09,2025-09-01,166205.52,chronos2_rolling,150189.28,161535.14,166205.52,169221.47,174050.02,166096.75,2025-06,3
