column,required,non_null,rows,status
month,True,72,72,PASS
beer_domestic_volume,True,72,72,PASS
beer_domestic_volume_imputed,True,72,72,PASS
temp_avg,True,72,72,PASS
heatwave_days,True,72,72,PASS
tropical_night_days,True,72,72,PASS
kbo_games,True,72,72,PASS
world_cup_dummy,True,72,72,PASS
holiday_days,True,72,72,PASS
ob_price_hike_dummy,True,72,72,PASS
beer_value,False,0,72,PASS
cass_fresh_share,False,72,72,PASS
cass_light_share,False,72,72,PASS
cass_fresh_volume,False,72,72,PASS
cass_light_volume,False,72,72,PASS
nonalc_market_value,False,72,72,PASS
cass_0_0_scn_base,False,72,72,PASS
cass_0_0_scn_low,False,72,72,PASS
cass_0_0_scn_high,False,72,72,PASS
import_beer_price_yoy,False,72,72,PASS
