month,timestamp,prediction,model,q025,q100,q500,q900,q975,actual
2024-01,2024-01-01,115368.62445054282,ets_additive,112544.90445054282,112792.34945054282,116129.37445054282,130029.40945054282,131437.53445054282,112628.9
2024-02,2024-02-01,115319.44811362948,ets_additive,112495.72811362948,112743.17311362948,116080.19811362948,129980.23311362948,131388.35811362948,112628.9
2024-03,2024-03-01,122939.78973069321,ets_additive,120116.06973069321,120363.51473069322,123700.53973069321,137600.57473069322,139008.69973069322,120772.58
2024-04,2024-04-01,136299.42082761796,ets_additive,133475.70082761795,133723.14582761796,137060.17082761796,150960.20582761796,152368.33082761796,134877.83
2024-05,2024-05-01,151779.61122257495,ets_additive,148955.89122257495,149203.33622257496,152540.36122257495,166440.39622257496,167848.52122257496,151165.17
2024-06,2024-06-01,164871.08158551398,ets_additive,162047.36158551398,162294.806585514,165631.83158551398,179531.86658551398,180939.99158551398,165270.42
2024-07,2024-07-01,172430.13620275218,ets_additive,169606.41620275218,169853.8612027522,173190.88620275218,187090.9212027522,188499.0462027522,173414.1
2024-08,2024-08-01,172113.71980504383,ets_additive,169289.99980504383,169537.44480504384,172874.46980504383,186774.50480504383,188182.62980504383,173414.1
2024-09,2024-09-01,164417.82252871495,ets_additive,161594.10252871495,161841.54752871496,165178.57252871495,179078.60752871496,180486.73252871496,165270.42
2024-10,2024-10-01,151127.45565523178,ets_additive,148303.73565523178,148551.1806552318,151888.20565523178,165788.24065523178,167196.36565523178,151165.17
2024-11,2024-11-01,135767.0728718914,ets_additive,132943.3528718914,133190.7978718914,136527.8228718914,150427.8578718914,151835.9828718914,134877.83
2024-12,2024-12-01,122386.71760432566,ets_additive,119562.99760432566,119810.44260432567,123147.46760432566,137047.50260432565,138455.62760432565,120772.58
2025-01,2025-01-01,117621.82949779133,ets_additive,114798.10949779133,115045.55449779134,118382.57949779133,132282.61449779134,133690.73949779134,113192.03
2025-02,2025-02-01,117572.65316087796,ets_additive,114748.93316087796,114996.37816087797,118333.40316087796,132233.43816087797,133641.56316087797,113192.03
2025-03,2025-03-01,125192.9947779417,ets_additive,122369.2747779417,122616.7197779417,125953.7447779417,139853.7797779417,141261.9047779417,121376.42
2025-04,2025-04-01,138552.62587486644,ets_additive,135728.90587486644,135976.35087486645,139313.37587486644,153213.41087486644,154621.53587486644,135552.19
2025-05,2025-05-01,154032.81626982344,ets_additive,151209.09626982344,151456.54126982344,154793.56626982344,168693.60126982344,170101.72626982344,151920.97
2025-06,2025-06-01,167124.28663276247,ets_additive,164300.56663276246,164548.01163276247,167885.03663276247,181785.07163276247,183193.19663276247,166096.75
2025-07,2025-07-01,174683.34125000067,ets_additive,171859.62125000067,172107.06625000067,175444.09125000067,189344.12625000067,190752.25125000067,174281.14
2025-08,2025-08-01,174366.92485229232,ets_additive,171543.2048522923,171790.64985229232,175127.67485229232,189027.70985229232,190435.83485229232,174281.14
2025-09,2025-09-01,166671.02757596347,ets_additive,163847.30757596347,164094.75257596347,167431.77757596347,181331.81257596347,182739.93757596347,166096.75
2025-10,2025-10-01,153380.66070248027,ets_additive,150556.94070248026,150804.38570248027,154141.41070248027,168041.44570248027,169449.57070248027,151920.97
2025-11,2025-11-01,138020.2779191399,ets_additive,135196.5579191399,135444.0029191399,138781.0279191399,152681.0629191399,154089.1879191399,135552.19
2025-12,2025-12-01,124639.92265157415,ets_additive,121816.20265157415,122063.64765157415,125400.67265157415,139300.70765157416,140708.83265157416,121376.42
