month,timestamp,prediction,model,q025,q100,q500,q900,q975
2026-01,2026-01-01,115891.24345881928,ets_additive,113130.51320881929,113668.50145881929,116627.86345881928,128540.21645881928,131601.70895881928
2026-02,2026-02-01,115669.48969804338,ets_additive,112908.75944804339,113446.74769804339,116406.10969804338,128318.46269804338,131379.95519804338
2026-03,2026-03-01,123355.69354645965,ets_additive,120594.96329645965,121132.95154645965,124092.31354645964,136004.66654645963,139066.15904645965
2026-04,2026-04-01,136845.89873020622,ets_additive,134085.16848020622,134623.15673020622,137582.5187302062,149494.8717302062,152556.3642302062
2026-05,2026-05-01,152480.6876562791,ets_additive,149719.9574062791,150257.9456562791,153217.3076562791,165129.6606562791,168191.1531562791
2026-06,2026-06-01,166026.00592272735,ets_additive,163265.27567272735,163803.26392272735,166762.62592272734,178674.97892272734,181736.47142272734
2026-07,2026-07-01,173146.8902048513,ets_additive,170386.15995485132,170924.1482048513,173883.5102048513,185795.8632048513,188857.3557048513
2026-08,2026-08-01,173034.6625443559,ets_additive,170273.9322943559,170811.9205443559,173771.2825443559,185683.6355443559,188745.1280443559
2026-09,2026-09-01,165191.6521948546,ets_additive,162430.9219448546,162968.9101948546,165928.2721948546,177840.6251948546,180902.1176948546
2026-10,2026-10-01,151674.35816971905,ets_additive,148913.62791971906,149451.61616971905,152410.97816971905,164323.33116971905,167384.82366971904
2026-11,2026-11-01,136060.00032536854,ets_additive,133299.27007536855,133837.25832536854,136796.62032536854,148708.97332536854,151770.46582536853
2026-12,2026-12-01,122487.76691654613,ets_additive,119727.03666654613,120265.02491654613,123224.38691654612,135136.73991654612,138198.23241654612
