month,timestamp,prediction,model,q025,q100,q500,q900,q975,actual,origin_month,horizon
2023-01,2023-01-01,116155.83548034373,ets_additive_rolling,113332.11548034372,113464.72548034374,120457.07548034372,131470.12548034373,132224.74548034373,112029.82,2022-12,1
2023-02,2023-02-01,116455.70187099348,ets_additive_rolling,113631.98187099348,113764.59187099349,120756.94187099347,131769.9918709935,132524.61187099348,112029.82,2022-12,2
2023-03,2023-03-01,124009.5966480675,ets_additive_rolling,121185.8766480675,121318.48664806751,128310.83664806749,139323.8866480675,140078.5066480675,120130.17,2022-12,3
2023-07,2023-07-01,171694.40642198222,ets_additive_rolling,168870.68642198222,169003.29642198223,172374.3264219822,187008.69642198223,187763.31642198222,172491.68,2023-06,1
2023-08,2023-08-01,171629.36335770966,ets_additive_rolling,168805.64335770966,168938.25335770968,172309.28335770965,186943.65335770967,187698.27335770967,172491.68,2023-06,2
2023-09,2023-09-01,164059.61817642624,ets_additive_rolling,161235.89817642624,161368.50817642626,164739.53817642626,179373.90817642625,180128.52817642625,164391.33,2023-06,3
2024-01,2024-01-01,115368.62445054282,ets_additive_rolling,112544.90445054282,112792.34945054282,116129.37445054282,130029.40945054282,131437.53445054282,112628.9,2023-12,1
2024-02,2024-02-01,115319.44811362948,ets_additive_rolling,112495.72811362948,112743.17311362948,116080.19811362948,129980.23311362948,131388.35811362948,112628.9,2023-12,2
2024-03,2024-03-01,122939.78973069321,ets_additive_rolling,120116.06973069321,120363.51473069322,123700.53973069321,137600.57473069322,139008.69973069322,120772.58,2023-12,3
2024-07,2024-07-01,172179.43625779153,ets_additive_rolling,169359.03150779154,169717.99625779153,172896.87625779153,186186.71625779153,188229.48075779155,173414.1,2024-06,1
2024-08,2024-08-01,172108.2467254607,ets_additive_rolling,169287.8419754607,169646.8067254607,172825.6867254607,186115.5267254607,188158.2912254607,173414.1,2024-06,2
2024-09,2024-09-01,164429.91054301016,ets_additive_rolling,161609.50579301018,161968.47054301016,165147.35054301016,178437.19054301016,180479.95504301018,165270.42,2024-06,3
2025-01,2025-01-01,115307.61019610692,ets_additive_rolling,112507.09694610692,112846.17019610692,116068.36019610692,129314.89019610692,131244.4616961069,113192.03,2024-12,1
2025-02,2025-02-01,115145.99803570393,ets_additive_rolling,112345.48478570393,112684.55803570393,115906.74803570393,129153.27803570393,131082.84953570392,113192.03,2024-12,2
2025-03,2025-03-01,122831.17126488377,ets_additive_rolling,120030.65801488377,120369.73126488377,123591.92126488377,136838.45126488377,138768.02276488376,121376.42,2024-12,3
2025-07,2025-07-01,173692.71180533813,ets_additive_rolling,170912.09005533814,171310.83780533812,174410.15180533813,187247.22280533813,189516.37030533812,174281.14,2025-06,1
2025-08,2025-08-01,173588.08072422288,ets_additive_rolling,170807.45897422289,171206.20672422287,174305.52072422288,187142.59172422288,189411.73922422287,174281.14,2025-06,2
2025-09,2025-09-01,165729.85633377018,ets_additive_rolling,162949.2345837702,163347.98233377017,166447.29633377018,179284.36733377018,181553.51483377017,166096.75,2025-06,3
