origin_month,horizon,month,timestamp,actual,prediction,model,source_month,q025,q100,q500,q900,q975
2022-12,1,2023-01,2023-01-01,112029.82,111430.73,seasonal_naive_rolling,2022-01,108607.01,108854.455,112191.48,126091.515,127499.64
2022-12,2,2023-02,2023-02-01,112029.82,111430.73,seasonal_naive_rolling,2022-02,108607.01,108854.455,112191.48,126091.515,127499.64
2022-12,3,2023-03,2023-03-01,120130.17,119487.77,seasonal_naive_rolling,2022-03,116664.05,116911.49500000001,120248.52,134148.555,135556.68
2023-06,1,2023-07,2023-07-01,172491.68,171569.27,seasonal_naive_rolling,2022-07,168745.55,168992.995,172330.02,186230.055,187638.18
2023-06,2,2023-08,2023-08-01,172491.68,171569.27,seasonal_naive_rolling,2022-08,168745.55,168992.995,172330.02,186230.055,187638.18
2023-06,3,2023-09,2023-09-01,164391.33,163512.23,seasonal_naive_rolling,2022-09,160688.51,160935.95500000002,164272.98,178173.015,179581.14
2023-12,1,2024-01,2024-01-01,112628.9,112029.82,seasonal_naive_rolling,2023-01,109206.1,109453.54500000001,112790.57,126690.60500000001,128098.73000000001
2023-12,2,2024-02,2024-02-01,112628.9,112029.82,seasonal_naive_rolling,2023-02,109206.1,109453.54500000001,112790.57,126690.60500000001,128098.73000000001
2023-12,3,2024-03,2024-03-01,120772.58,120130.17,seasonal_naive_rolling,2023-03,117306.45,117553.895,120890.92,134790.95500000002,136199.08000000002
2024-06,1,2024-07,2024-07-01,173414.1,172491.68,seasonal_naive_rolling,2023-07,169667.96,169915.405,173252.43,187152.465,188560.59
2024-06,2,2024-08,2024-08-01,173414.1,172491.68,seasonal_naive_rolling,2023-08,169667.96,169915.405,173252.43,187152.465,188560.59
2024-06,3,2024-09,2024-09-01,165270.42,164391.33,seasonal_naive_rolling,2023-09,161567.61,161815.055,165152.08,179052.115,180460.24
2024-12,1,2025-01,2025-01-01,113192.03,112628.9,seasonal_naive_rolling,2024-01,109805.18,110052.625,113389.65,127289.685,128697.81
2024-12,2,2025-02,2025-02-01,113192.03,112628.9,seasonal_naive_rolling,2024-02,109805.18,110052.625,113389.65,127289.685,128697.81
2024-12,3,2025-03,2025-03-01,121376.42,120772.58,seasonal_naive_rolling,2024-03,117948.86,118196.30500000001,121533.33,135433.365,136841.49
2025-06,1,2025-07,2025-07-01,174281.14,173414.1,seasonal_naive_rolling,2024-07,170590.38,170837.825,174174.85,188074.885,189483.01
2025-06,2,2025-08,2025-08-01,174281.14,173414.1,seasonal_naive_rolling,2024-08,170590.38,170837.825,174174.85,188074.885,189483.01
2025-06,3,2025-09,2025-09-01,166096.75,165270.42,seasonal_naive_rolling,2024-09,162446.7,162694.14500000002,166031.17,179931.20500000002,181339.33000000002
2022-12,1,2023-01,2023-01-01,112029.82,112931.484375,chronos2_rolling,,97480.109375,109138.1796875,112931.484375,116590.28125,122565.859375
2022-12,2,2023-02,2023-02-01,112029.82,113878.671875,chronos2_rolling,,96659.3359375,109202.9921875,113878.671875,118637.9765625,125298.03125
2022-12,3,2023-03,2023-03-01,120130.17,121621.0234375,chronos2_rolling,,103748.3828125,115713.984375,121621.0234375,127370.484375,134439.171875
2023-06,1,2023-07,2023-07-01,172491.68,172549.15625,chronos2_rolling,,157180.25,166847.5,172549.15625,177536.78125,183444.953125
2023-06,2,2023-08,2023-08-01,172491.68,172288.078125,chronos2_rolling,,153951.0,165313.6875,172288.078125,178174.796875,184941.015625
2023-06,3,2023-09,2023-09-01,164391.33,162985.765625,chronos2_rolling,,145357.765625,155695.859375,162985.765625,169239.0625,176350.71875
2023-12,1,2024-01,2024-01-01,112628.9,113243.109375,chronos2_rolling,,103586.3046875,110189.625,113243.109375,115658.6796875,118871.6640625
2023-12,2,2024-02,2024-02-01,112628.9,112950.9296875,chronos2_rolling,,101897.171875,109599.671875,112950.9296875,116374.1953125,120278.046875
2023-12,3,2024-03,2024-03-01,120772.58,121261.1171875,chronos2_rolling,,109290.1484375,116796.6484375,121261.1171875,125394.6796875,129469.484375
2024-06,1,2024-07,2024-07-01,173414.1,173895.5625,chronos2_rolling,,162062.421875,169312.28125,173895.5625,177540.5625,181432.546875
2024-06,2,2024-08,2024-08-01,173414.1,172620.984375,chronos2_rolling,,160276.515625,168352.21875,172620.984375,177187.34375,181184.15625
2024-06,3,2024-09,2024-09-01,165270.42,164579.421875,chronos2_rolling,,152589.515625,160420.375,164579.421875,168094.078125,171966.765625
2024-12,1,2025-01,2025-01-01,113192.03,113315.8203125,chronos2_rolling,,105816.6171875,110589.3046875,113315.8203125,116128.0,118351.203125
2024-12,2,2025-02,2025-02-01,113192.03,112712.1171875,chronos2_rolling,,104486.328125,109817.625,112712.1171875,115662.8671875,118331.6015625
2024-12,3,2025-03,2025-03-01,121376.42,120571.9609375,chronos2_rolling,,112096.8203125,117144.609375,120571.9609375,123388.15625,126347.0703125
2025-06,1,2025-07,2025-07-01,174281.14,176012.4375,chronos2_rolling,,159725.0625,171038.75,176012.4375,179294.796875,184320.8125
2025-06,2,2025-08,2025-08-01,174281.14,174807.0625,chronos2_rolling,,157835.65625,170011.46875,174807.0625,178996.484375,184228.9375
2025-06,3,2025-09,2025-09-01,166096.75,166205.515625,chronos2_rolling,,150189.28125,161535.140625,166205.515625,169221.46875,174050.015625
