month,timestamp,actual,prediction,model,source_month,q025,q100,q500,q900,q975
2024-01,2024-01-01,112628.9,112029.82,seasonal_naive,2023-01,109206.1,109453.54500000001,112790.57,126690.60500000001,128098.73000000001
2024-02,2024-02-01,112628.9,112029.82,seasonal_naive,2023-02,109206.1,109453.54500000001,112790.57,126690.60500000001,128098.73000000001
2024-03,2024-03-01,120772.58,120130.17,seasonal_naive,2023-03,117306.45,117553.895,120890.92,134790.95500000002,136199.08000000002
2024-04,2024-04-01,134877.83,134160.4,seasonal_naive,2023-04,131336.68,131584.125,134921.15,148821.185,150229.31
2024-05,2024-05-01,151165.17,150361.1,seasonal_naive,2023-05,147537.38,147784.825,151121.85,165021.885,166430.01
2024-06,2024-06-01,165270.42,164391.33,seasonal_naive,2023-06,161567.61,161815.055,165152.08,179052.115,180460.24
2024-07,2024-07-01,173414.1,172491.68,seasonal_naive,2023-07,169667.96,169915.405,173252.43,187152.465,188560.59
2024-08,2024-08-01,173414.1,172491.68,seasonal_naive,2023-08,169667.96,169915.405,173252.43,187152.465,188560.59
2024-09,2024-09-01,165270.42,164391.33,seasonal_naive,2023-09,161567.61,161815.055,165152.08,179052.115,180460.24
2024-10,2024-10-01,151165.17,150361.1,seasonal_naive,2023-10,147537.38,147784.825,151121.85,165021.885,166430.01
2024-11,2024-11-01,134877.83,134160.4,seasonal_naive,2023-11,131336.68,131584.125,134921.15,148821.185,150229.31
2024-12,2024-12-01,120772.58,120130.17,seasonal_naive,2023-12,117306.45,117553.895,120890.92,134790.95500000002,136199.08000000002
2025-01,2025-01-01,113192.03,112628.9,seasonal_naive,2024-01,109805.18,110052.625,113389.65,127289.685,128697.81
2025-02,2025-02-01,113192.03,112628.9,seasonal_naive,2024-02,109805.18,110052.625,113389.65,127289.685,128697.81
2025-03,2025-03-01,121376.42,120772.58,seasonal_naive,2024-03,117948.86,118196.30500000001,121533.33,135433.365,136841.49
2025-04,2025-04-01,135552.19,134877.83,seasonal_naive,2024-04,132054.11,132301.555,135638.58,149538.615,150946.74
2025-05,2025-05-01,151920.97,151165.17,seasonal_naive,2024-05,148341.45,148588.89500000002,151925.92,165825.95500000002,167234.08000000002
2025-06,2025-06-01,166096.75,165270.42,seasonal_naive,2024-06,162446.7,162694.14500000002,166031.17,179931.20500000002,181339.33000000002
2025-07,2025-07-01,174281.14,173414.1,seasonal_naive,2024-07,170590.38,170837.825,174174.85,188074.885,189483.01
2025-08,2025-08-01,174281.14,173414.1,seasonal_naive,2024-08,170590.38,170837.825,174174.85,188074.885,189483.01
2025-09,2025-09-01,166096.75,165270.42,seasonal_naive,2024-09,162446.7,162694.14500000002,166031.17,179931.20500000002,181339.33000000002
2025-10,2025-10-01,151920.97,151165.17,seasonal_naive,2024-10,148341.45,148588.89500000002,151925.92,165825.95500000002,167234.08000000002
2025-11,2025-11-01,135552.19,134877.83,seasonal_naive,2024-11,132054.11,132301.555,135638.58,149538.615,150946.74
2025-12,2025-12-01,121376.42,120772.58,seasonal_naive,2024-12,117948.86,118196.30500000001,121533.33,135433.365,136841.49
