month,timestamp,prediction,model,source_month,q025,q100,q500,q900,q975
2026-01,2026-01-01,113192.03,seasonal_naive,2025-01,110368.31,110615.755,113952.78,127852.815,129260.94
2026-02,2026-02-01,113192.03,seasonal_naive,2025-02,110368.31,110615.755,113952.78,127852.815,129260.94
2026-03,2026-03-01,121376.42,seasonal_naive,2025-03,118552.7,118800.145,122137.17,136037.20500000002,137445.33000000002
2026-04,2026-04-01,135552.19,seasonal_naive,2025-04,132728.47,132975.915,136312.94,150212.975,151621.1
2026-05,2026-05-01,151920.97,seasonal_naive,2025-05,149097.25,149344.695,152681.72,166581.755,167989.88
2026-06,2026-06-01,166096.75,seasonal_naive,2025-06,163273.03,163520.475,166857.5,180757.535,182165.66
2026-07,2026-07-01,174281.14,seasonal_naive,2025-07,171457.42,171704.86500000002,175041.89,188941.92500000002,190350.05000000002
2026-08,2026-08-01,174281.14,seasonal_naive,2025-08,171457.42,171704.86500000002,175041.89,188941.92500000002,190350.05000000002
2026-09,2026-09-01,166096.75,seasonal_naive,2025-09,163273.03,163520.475,166857.5,180757.535,182165.66
2026-10,2026-10-01,151920.97,seasonal_naive,2025-10,149097.25,149344.695,152681.72,166581.755,167989.88
2026-11,2026-11-01,135552.19,seasonal_naive,2025-11,132728.47,132975.915,136312.94,150212.975,151621.1
2026-12,2026-12-01,121376.42,seasonal_naive,2025-12,118552.7,118800.145,122137.17,136037.20500000002,137445.33000000002
