month,model,forecast_kl,q900_kl,historical_same_month_avg_kl,demand_ratio_vs_same_month_avg,estimated_required_batches_per_day,tank_capacity_batches_per_day,estimated_utilization,prebuild_watch_kl,recommended_commit_month,status,recommendation,limitation
2026-01,chronos2_covariate_projected,115066.328125,117700.859375,108850.67166666668,1.0571026008674298,1.2685231210409158,1.4285714285714286,0.8879661847286411,8850.187708333324,2025-12,WATCH,Review weekly fermentation starts and safety stock buffers.,Proxy monthly aggregate only; not SKU/tank executable.
2026-02,chronos2_covariate_projected,115163.890625,117751.578125,108850.67166666668,1.0579988975875712,1.2695986771050853,1.4285714285714286,0.8887190739735598,8900.906458333324,2026-01,WATCH,Review weekly fermentation starts and safety stock buffers.,Proxy monthly aggregate only; not SKU/tank executable.
2026-03,chronos2_covariate_projected,122795.109375,124884.8046875,116721.15833333333,1.0520381319753582,1.2624457583704298,1.4285714285714286,0.8837120308593008,8163.646354166674,2026-02,WATCH,Review weekly fermentation starts and safety stock buffers.,Proxy monthly aggregate only; not SKU/tank executable.
2026-04,chronos2_covariate_projected,135821.34375,137805.046875,130353.23666666665,1.0419483798267024,1.250338055792043,1.4285714285714286,0.87523663905443,7451.810208333351,2026-03,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-05,chronos2_covariate_projected,152441.875,154590.125,146094.20666666667,1.0434491447550442,1.252138973706053,1.4285714285714286,0.8764972815942371,8495.918333333335,2026-04,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-06,chronos2_covariate_projected,165911.90625,168429.8125,159726.28666666665,1.0387263719230018,1.246471646307602,1.4285714285714286,0.8725301524153214,8703.525833333348,2026-05,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-07,chronos2_covariate_projected,173734.0625,176727.75,167596.77166666667,1.0366193857572614,1.2439432629087137,1.4285714285714286,0.8707602840360996,9130.978333333333,2026-06,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-08,chronos2_covariate_projected,174322.4375,177382.46875,167596.77166666667,1.0401300440721497,1.2481560528865796,1.4285714285714286,0.8737092370206057,9785.697083333333,2026-07,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-09,chronos2_covariate_projected,165586.765625,168424.234375,159726.28666666665,1.0366907606796345,1.2440289128155613,1.4285714285714286,0.8708202389708929,8697.947708333348,2026-08,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-10,chronos2_covariate_projected,151563.859375,153802.75,146094.20666666667,1.0374392170170927,1.2449270604205112,1.4285714285714286,0.8714489422943578,7708.543333333335,2026-09,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-11,chronos2_covariate_projected,135224.0,137203.78125,130353.23666666665,1.0373658794970213,1.2448390553964255,1.4285714285714286,0.8713873387774979,6850.544583333351,2026-10,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
2026-12,chronos2_covariate_projected,121619.78125,124263.765625,116721.15833333333,1.0419685940973713,1.2503623129168455,1.4285714285714286,0.8752536190417919,7542.607291666674,2026-11,NORMAL,No tank allocation escalation from proxy forecast.,Proxy monthly aggregate only; not SKU/tank executable.
