month,model,advisory_low_kl,advisory_base_kl,advisory_high_kl,message,limitation
2026-01,chronos2_covariate_projected,111647.375,115066.328125,117700.859375,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-02,chronos2_covariate_projected,111566.25,115163.890625,117751.578125,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-03,chronos2_covariate_projected,118925.640625,122795.109375,124884.8046875,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-04,chronos2_covariate_projected,132203.734375,135821.34375,137805.046875,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-05,chronos2_covariate_projected,148565.390625,152441.875,154590.125,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-06,chronos2_covariate_projected,160733.828125,165911.90625,168429.8125,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-07,chronos2_covariate_projected,167194.203125,173734.0625,176727.75,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-08,chronos2_covariate_projected,167573.34375,174322.4375,177382.46875,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-09,chronos2_covariate_projected,160110.078125,165586.765625,168424.234375,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-10,chronos2_covariate_projected,146980.828125,151563.859375,153802.75,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-11,chronos2_covariate_projected,129974.9375,135224.0,137203.78125,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
2026-12,chronos2_covariate_projected,116150.78125,121619.78125,124263.765625,Use as national aggregate demand band only; translate to account-level orders only after account/DC data is available.,"No account, channel, or region data available."
