month,severity,owner,decision_type,approval_required,forecast_reasons,forecast_action,tank_status,estimated_utilization,prebuild_watch_kl,safety_stock_approval_band,safety_stock_buffer_80_kl,advisory_low_kl,advisory_base_kl,advisory_high_kl,limitation
2026-01,HIGH,HQ demand planner,review_before_commit,required,wide_95_interval,Planner review before fermentation or inventory commitment.,WATCH,0.8879661847286411,8850.187708333324,AUTO_OR_LOW_TOUCH,2634.53125,111647.375,115066.328125,117700.859375,Proxy workflow queue only; not connected to production systems.
2026-02,HIGH,HQ demand planner,review_before_commit,required,wide_95_interval,Planner review before fermentation or inventory commitment.,WATCH,0.8887190739735598,8900.906458333324,AUTO_OR_LOW_TOUCH,2587.6875,111566.25,115163.890625,117751.578125,Proxy workflow queue only; not connected to production systems.
2026-03,HIGH,HQ demand planner,review_before_commit,required,wide_95_interval,Planner review before fermentation or inventory commitment.,WATCH,0.8837120308593008,8163.646354166674,AUTO_OR_LOW_TOUCH,2089.6953125,118925.640625,122795.109375,124884.8046875,Proxy workflow queue only; not connected to production systems.
2026-04,NORMAL,planning system,no_escalation,not_required,none,No escalation.,NORMAL,0.87523663905443,7451.810208333351,AUTO_OR_LOW_TOUCH,1983.703125,132203.734375,135821.34375,137805.046875,Proxy workflow queue only; not connected to production systems.
2026-05,NORMAL,planning system,no_escalation,not_required,none,No escalation.,NORMAL,0.8764972815942371,8495.918333333335,AUTO_OR_LOW_TOUCH,2148.25,148565.390625,152441.875,154590.125,Proxy workflow queue only; not connected to production systems.
2026-06,HIGH,HQ demand planner,review_before_commit,required,"wide_95_interval,above_historical_p75",Planner review before fermentation or inventory commitment.,NORMAL,0.8725301524153214,8703.525833333348,AUTO_OR_LOW_TOUCH,2517.90625,160733.828125,165911.90625,168429.8125,Proxy workflow queue only; not connected to production systems.
2026-07,HIGH,HQ demand planner,review_before_commit,required,"wide_95_interval,above_historical_p90",Planner review before fermentation or inventory commitment.,NORMAL,0.8707602840360996,9130.978333333333,AUTO_OR_LOW_TOUCH,2993.6875,167194.203125,173734.0625,176727.75,Proxy workflow queue only; not connected to production systems.
2026-08,HIGH,HQ demand planner,review_before_commit,required,"wide_95_interval,above_historical_p90",Planner review before fermentation or inventory commitment.,NORMAL,0.8737092370206057,9785.697083333333,AUTO_OR_LOW_TOUCH,3060.03125,167573.34375,174322.4375,177382.46875,Proxy workflow queue only; not connected to production systems.
2026-09,HIGH,HQ demand planner,review_before_commit,required,"wide_95_interval,above_historical_p75",Planner review before fermentation or inventory commitment.,NORMAL,0.8708202389708929,8697.947708333348,AUTO_OR_LOW_TOUCH,2837.46875,160110.078125,165586.765625,168424.234375,Proxy workflow queue only; not connected to production systems.
2026-10,HIGH,HQ demand planner,review_before_commit,required,wide_95_interval,Planner review before fermentation or inventory commitment.,NORMAL,0.8714489422943578,7708.543333333335,AUTO_OR_LOW_TOUCH,2238.890625,146980.828125,151563.859375,153802.75,Proxy workflow queue only; not connected to production systems.
2026-11,HIGH,HQ demand planner,review_before_commit,required,wide_95_interval,Planner review before fermentation or inventory commitment.,NORMAL,0.8713873387774979,6850.544583333351,AUTO_OR_LOW_TOUCH,1979.78125,129974.9375,135224.0,137203.78125,Proxy workflow queue only; not connected to production systems.
2026-12,HIGH,HQ demand planner,review_before_commit,required,wide_95_interval,Planner review before fermentation or inventory commitment.,NORMAL,0.8752536190417919,7542.607291666674,AUTO_OR_LOW_TOUCH,2643.984375,116150.78125,121619.78125,124263.765625,Proxy workflow queue only; not connected to production systems.
