month,news_beer_general_count,news_cass_ob_count,news_nonalc_count,news_weather_demand_count,news_festival_beer_count,news_regulation_health_price_count,news_beer_general_positive_keyword_count,news_beer_general_negative_keyword_count,news_cass_ob_positive_keyword_count,news_cass_ob_negative_keyword_count,news_nonalc_positive_keyword_count,news_nonalc_negative_keyword_count,news_weather_demand_positive_keyword_count,news_weather_demand_negative_keyword_count,news_festival_beer_positive_keyword_count,news_festival_beer_negative_keyword_count,news_regulation_health_price_positive_keyword_count,news_regulation_health_price_negative_keyword_count,news_health_trend_title_count,news_price_regulation_title_count,news_weather_title_count,news_event_title_count,news_total_index,news_sentiment_balance_proxy,news_data_source_note
2020-01,86,20,4,16,0,39,15,5,5,1,0,0,5,1,0,0,3,1,6,22,0,0,165,20,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-02,61,15,4,8,0,43,7,2,3,0,1,1,0,0,0,0,6,2,10,4,2,2,131,12,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-03,54,19,5,10,0,41,5,1,3,0,1,0,2,0,0,0,1,2,4,1,0,0,129,9,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-04,81,31,10,26,0,44,18,4,7,5,2,0,13,0,0,0,11,5,11,1,2,9,192,37,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-05,88,22,3,35,0,48,20,3,5,1,1,0,12,1,0,0,8,9,4,4,13,5,196,32,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-06,172,34,16,42,0,37,37,8,6,4,5,0,17,6,0,0,8,2,38,3,23,11,301,53,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-07,153,52,14,49,0,41,31,8,15,3,6,1,12,7,0,0,5,8,28,13,13,11,309,42,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-08,98,29,6,48,0,48,22,4,7,2,0,0,10,7,0,0,5,5,16,8,22,9,229,26,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-09,85,21,6,35,0,36,13,1,4,0,2,0,5,4,0,0,7,4,10,4,4,0,183,22,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-10,92,26,12,12,0,46,23,1,12,0,6,0,3,0,0,0,6,0,32,5,0,5,188,49,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-11,132,38,17,32,0,47,26,6,5,0,1,0,13,0,0,0,11,3,59,11,3,2,266,47,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2020-12,88,30,14,12,0,42,18,2,8,0,1,0,1,1,0,0,6,3,33,1,2,5,186,28,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-01,109,37,17,15,0,46,32,3,15,1,4,0,3,0,0,0,7,8,59,10,2,1,224,49,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-02,108,29,13,5,0,45,11,2,5,1,4,1,0,0,0,0,5,3,25,5,2,0,200,18,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-03,145,63,14,6,0,27,37,10,20,5,1,0,2,0,0,0,1,8,16,22,0,1,255,38,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
