date,맥주,편의점 맥주,수입맥주,무알콜 맥주,논알콜 맥주,isPartial
2020-01-01,64,1,1,0,0,False
2020-02-01,63,1,1,1,0,False
2020-03-01,59,1,1,1,0,False
2020-04-01,57,1,1,1,0,False
2020-05-01,76,1,1,1,0,False
2020-06-01,76,2,1,1,0,False
2020-07-01,81,1,1,1,0,False
2020-08-01,74,1,1,1,0,False
2020-09-01,57,1,1,1,0,False
2020-10-01,59,1,1,1,0,False
2020-11-01,65,1,1,1,0,False
2020-12-01,55,1,1,1,0,False
2021-01-01,51,1,1,1,0,False
2021-02-01,56,1,1,1,0,False
2021-03-01,53,1,1,1,0,False
2021-04-01,58,1,1,1,0,False
2021-05-01,66,1,1,2,0,False
2021-06-01,66,1,0,2,0,False
2021-07-01,65,1,1,1,0,False
2021-08-01,60,1,1,2,0,False
2021-09-01,53,1,1,1,0,False
2021-10-01,54,1,1,1,0,False
2021-11-01,54,1,0,1,0,False
2021-12-01,57,1,1,1,0,False
2022-01-01,70,2,1,1,0,False
2022-02-01,64,1,0,1,0,False
2022-03-01,56,2,0,2,0,False
2022-04-01,78,2,1,1,0,False
2022-05-01,79,2,0,2,0,False
2022-06-01,85,2,0,2,1,False
2022-07-01,92,2,1,2,1,False
2022-08-01,100,2,1,2,0,False
2022-09-01,89,2,0,2,1,False
2022-10-01,86,1,1,1,0,False
2022-11-01,76,2,0,2,0,False
2022-12-01,78,2,0,1,0,False
2023-01-01,82,2,0,1,0,False
2023-02-01,72,2,1,1,0,False
2023-03-01,76,2,1,1,0,False
2023-04-01,89,2,1,1,0,False
2023-05-01,84,2,1,1,0,False
2023-06-01,73,1,0,2,0,False
2023-07-01,77,2,0,1,0,False
2023-08-01,82,2,1,2,1,False
2023-09-01,77,2,1,1,0,False
2023-10-01,70,1,1,1,0,False
2023-11-01,64,1,1,1,0,False
2023-12-01,62,1,0,1,0,False
2024-01-01,61,1,0,1,0,False
2024-02-01,53,1,0,1,0,False
2024-03-01,56,1,0,1,0,False
2024-04-01,58,1,0,1,0,False
2024-05-01,79,2,0,1,0,False
2024-06-01,80,2,0,1,1,False
2024-07-01,74,1,0,2,0,False
2024-08-01,85,2,1,2,1,False
2024-09-01,69,1,0,2,0,False
2024-10-01,59,1,0,1,0,False
2024-11-01,59,2,0,1,0,False
2024-12-01,66,2,0,1,0,False
2025-01-01,66,2,0,1,1,False
2025-02-01,61,1,0,1,0,False
2025-03-01,72,2,0,1,0,False
2025-04-01,64,1,0,1,1,False
2025-05-01,72,2,0,2,1,False
2025-06-01,73,1,0,2,1,False
2025-07-01,89,2,1,2,1,False
2025-08-01,93,2,0,2,1,False
2025-09-01,71,2,0,2,1,False
2025-10-01,73,2,0,2,1,False
2025-11-01,74,1,1,2,1,False
2025-12-01,74,2,1,2,1,False
2026-01-01,71,2,0,2,1,False
2026-02-01,64,2,0,2,1,False
2026-03-01,66,1,0,2,1,False
2026-04-01,63,2,0,1,1,False
2026-05-01,81,2,0,2,1,True
