month,period,import_net_weight_kg,import_value_usd,import_is_estimated,export_net_weight_kg,export_value_usd,export_is_estimated
2020-01,202001,20988337.9,17279738,False,9005071.14,5752715,False
2020-02,202002,21754888.815,17343709,False,12251106.52,8536521,False
2020-03,202003,21142447.72,16728196,False,12389492.06,8306838,False
2020-04,202004,21793328.715,16584017,False,6565307.18,4293288,False
2020-05,202005,25251702.63,19656886,False,5743731.66,3705346,False
2020-06,202006,31539269.942,24929678,False,10151927.3,5763336,False
2020-07,202007,29168920.95,23994360,False,13583492.01,7786279,False
2020-08,202008,24842510.54,20613970,False,7543874.85,4704792,False
2020-09,202009,22551368.1,18544466,False,8662842.41,5256872,False
2020-10,202010,17106514.29,14902733,False,6663978.937,3925041,False
2020-11,202011,20215568.47,17446361,False,10764054.02,6356852,False
2020-12,202012,21571595.288,18835118,False,6010666.38,4142194,False
2021-01,202101,21434381.153,17684916,False,5468137.9,3262879,False
2021-02,202102,17769890.825,15382297,False,5173943.68,3181504,False
2021-03,202103,16592288.47,14161206,False,9847246.65,5877656,False
2021-04,202104,20566675.07,18108070,False,8126147.48,5016631,False
2021-05,202105,21192576.27,18417375,False,7803481.92,4807449,False
2021-06,202106,25244001.45,22664247,False,9977512.5,6188079,False
2021-07,202107,26755136.189,23464051,False,5869876.25,3857324,False
2021-08,202108,23333913.415,19791811,False,12307243.3,7507206,False
2021-09,202109,19768365.97,17141538,False,8448416,5397517,False
2021-10,202110,20898293.77,18257460,False,7119437.15,5042835,False
2021-11,202111,22781373.84,19373440,False,9025449.54,5631877,False
2021-12,202112,21595117.44,18653784,False,6809325.4,4209123,False
2022-01,202201,22326000.91,18299994,False,8641243.3,5229486,False
2022-02,202202,18131190.2,15685068,False,7778782.3,5429967,False
2022-03,202203,29016902.99,23914925,False,7560283.1,5388968,False
2022-04,202204,11120640.11,10027909,False,6798992.3,5165255,False
2022-05,202205,15686093.58,14492770,False,7238656.5,5373333,False
2022-06,202206,16357205.55,13900853,False,10357767.88,7223302,False
2022-07,202207,18617946.6,15741419,False,10677945.98,7449643,False
2022-08,202208,22943014.15,19591640,False,12716748.8,8673777,False
2022-09,202209,24271014,20296064,False,9489726.55,6107315,False
2022-10,202210,17146568.99,14030223,False,6334109.8,3882330,False
2022-11,202211,,15983650,False,7647869.8,4875739,False
2022-12,202212,14962996.06,13136579,False,7222062.81,4675097,False
2023-01,202301,19923548.22,16923768,False,8932706.58,6691984,False
2023-02,202302,19027101.18,16827134,False,10822595.16,7051098,False
2023-03,202303,24744989.05,22526461,False,8330436.2,5942069,False
2023-04,202304,18392836.029,17222751,False,9103243.23,6004316,False
2023-05,202305,18074904.145,17187549,False,9354828.9,6281681,False
2023-06,202306,20498352.08,19098419,False,8458854.54,6239215,False
2023-07,202307,22492441.74,20520966,False,8050104.8,6234272,False
2023-08,202308,24114123.73,22670058,False,8760080.75,7160929,False
2023-09,202309,18261064.85,16838805,False,10708369.99,8468853,False
2023-10,202310,18752957.57,17348086,False,7494165.16,5734963,False
2023-11,202311,20563782.42,18350093,False,7222069.3,5628349,False
2023-12,202312,13849758.41,12701911,False,6434825.04,5151898,False
2024-01,202401,14294981.75,13629578,False,6915452.57,5241452,False
2024-02,202402,17448692.361,16204460,True,7362069.22,5701400,False
2024-03,202403,16576187.66,15321140,False,9738999.04,7221365,False
2024-04,202404,20375897.11,18576387,False,8085867.26,6306012,False
2024-05,202405,19948338.13,17791638,False,10989399.06,7812623,False
2024-06,202406,20912456.44,18613144,False,8218112.34,6027803,False
2024-07,202407,21502136.325,19423614,False,11475827.9,8614718,False
2024-08,202408,18619902.41,17081073,False,6088946.15,4874630,False
2024-09,202409,20393923.6,18771303,False,9263188.87,7443260,False
2024-10,202410,22087347.36,20074719,False,10407414.51,8176625,False
2024-11,202411,16989773.05,15564151,False,7452040.9,5904335,False
2024-12,202412,16132672.074,14221119,False,7166612.82,5715533,False
2025-01,202501,19272097.739,16421627,False,6133512.206,4330955,False
2025-02,202502,18053796.475,16044754,False,11976932.073,8269895,False
2025-03,202503,18394332.712,16101977,False,9664103.048,7088934,False
2025-04,202504,18206908.629,16323653,False,11153408.922,7771847,False
2025-05,202505,19745199.858,18922522,False,9216348.007,6500157,False
2025-06,202506,21191373.504,19559247,False,9390552.018,6569273,False
2025-07,202507,24619718.406,22173739,False,8510513.822,6244646,False
2025-08,202508,21501037.936,19336045,False,8169891.808,5841316,False
2025-09,202509,23439983.242,21206431,False,12959898.058,9312089,False
2025-10,202510,19260082.459,17118124,False,7355365.6,5666035,False
2025-11,202511,16623142.506,14865984,False,10959286.72,7801850,False
2025-12,202512,19533651.423,17728093,False,13176874.044,9775229,False
