year,domestic_beer_shipments_thousand_kl,beer_imports_thousand_kl_approx,beer_exports_thousand_kl_approx,apparent_market_thousand_kl_est,source,notes
1994,1769,1.6,35.4,1735.2,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
1995,1850,3.7,28.6,1825.1,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
1996,1868,4.9,41.5,1831.4,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
1997,1799,9.7,50.6,1758.1,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
1998,1537,1.3,33.3,1505.0,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
1999,1579,3.3,30.2,1552.1,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2000,1731,8.3,34.6,1704.7,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2001,1755,19.5,45.0,1729.5,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2002,1935,20.1,52.9,1902.2,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2003,1896,20.7,55.5,1861.2,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2004,1992,21.3,56.8,1956.5,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2005,1837,22.8,66.2,1793.6,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2006,1855,26.9,69.6,1812.3,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2007,1948,35.8,60.4,1923.4,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2008,2016,43.2,74.5,1984.7,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2009,1961,41.5,73.2,1929.3,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2010,1910,48.7,81.3,1877.4,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2011,1963,59.0,104.2,1917.8,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2012,2031,74.7,104.9,2000.8,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2013,2062,95.2,113.2,2044.0,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2014,2056,117.7,94.6,2079.1,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2015,2041,170.9,124.0,2087.9,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2016,1978,220.5,131.5,2067.0,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
2017,1824,331.2,158.2,1997.0,e-나라지표/국세청 주류 출고량 현황 + UN Comtrade HS2203,수입/수출은 순중량 t를 1t≈1kL로 근사; e-나라지표 국내 출고량은 천kL 반올림
