entity,metric,period,value,unit,basis_or_formula,data_type,notes,source
Cass,매출,2023,1.52,조원,Company Data cited by USDA/FAS KS2024-0035 Table 3,공개/준공식 인용,Cass 단일 브랜드 매출. 판매량/출고량 아님,"USDA/FAS South Korea Beer Market Report KS2024-0035, Table 3"
Cass,국내 맥주 제품 매출 순위,2023,1,순위,USDA/FAS Table 3,공개/준공식 인용,Top 10 beer products in Korea 2023 중 1위,USDA/FAS South Korea Beer Market Report KS2024-0035
Cass,Top 6 국내 생산 맥주 제품 매출 내 비중,2023,56.9,%,1.52조원 / 2.67조원,계산값,USDA/FAS: top six domestic products sales 2.67조원; Cass 1.52조원,USDA/FAS KS2024-0035
Cass Fresh,가정용 맥주 시장 점유율,2024H1,44.0,% 판매량 기준,닐슨코리아 집계 기사 인용,공개 실측 보도,전년동기 대비 +1.7%p; 13년째 1위,동아일보/매일경제/아주경제 2024-08-21
Cass Light,가정용 맥주 시장 점유율,2024H1,3.4,% 판매량 기준,닐슨코리아 집계 기사 인용,공개 실측 보도,"라이트 맥주 1위, 전체 브랜드 6위",동아일보/매일경제/아주경제 2024-08-21
OB맥주,제조사 가정용 맥주 시장 점유율,2024H1,55.3,% 판매량 기준,닐슨코리아 집계 기사 인용,공개 실측 보도,제조사 1위,동아일보/매일경제/아주경제 2024-08-21
Cass Fresh,가정용 맥주 시장 점유율,2025Q1,48.0,% 판매량 기준,기사 인용,공개 실측 보도,올 1분기 맥주 가정시장,시사저널e
OB맥주,제조사 가정용 맥주 시장 점유율,2025Q1,60.1,% 판매량 기준,기사 인용,공개 실측 보도,제조사 1위,시사저널e
Cass Fresh,가정용 맥주 시장 점유율,2025Q2/H1,48.8,% 판매량 기준,BusinessKorea 등 기사 인용,공개 실측 보도,브랜드별 1위,BusinessKorea 2025-08-20 등
Cass Light,가정용 맥주 시장 점유율,2025Q2,4.9,% 판매량 기준,BusinessKorea 등 기사 인용,공개 실측 보도,국내 맥주 브랜드 중 3위 보도,BusinessKorea 2025-08-20 등
Cass,브랜드 가치,2025,1.4,십억 USD,Brand Finance 결과 기사 인용,공개 평가,"약 1.9조원, 전년 대비 +75%, 세계 맥주 브랜드 23위",BusinessKorea 2025-08-20
Cass,세계 맥주 브랜드 가치 순위,2023→2024→2025,36→32→23,순위,Brand Finance 결과 기사 인용,공개 평가,한국 맥주 브랜드 유일 Top 50,BusinessKorea 2025-08-20
OB맥주,연결 매출,2023,15458,억원,DART 감사보고서 인용 기사,공개 보도,2024년 비교 기준,NewsSpace 2025-04-06
OB맥주,연결 매출,2024,17404,억원,DART 감사보고서 인용 기사,공개 보도,전년 대비 +12.6%,NewsSpace 2025-04-06
OB맥주,영업이익,2024,3676,억원,DART 감사보고서 인용 기사,공개 보도,"전년 대비 +56%, 영업이익률 약 21.1%",NewsSpace 2025-04-06
OB맥주,순이익,2024,2411,억원,DART 감사보고서 인용 기사,공개 보도,전년 대비 +57%,NewsSpace 2025-04-06
맥주 전체,국내 출고량,2024,1637,천kL,e-나라지표/국세청,공식 통계,"국내분, 천kL 반올림. 별도 보도는 1,637,210 kL로 표기",e-나라지표 idx_cd=2824
맥주 전체,apparent market,2024,1759.1,천kL,국내 출고량 + 수입 - 수출,추정/프록시,수입·수출 HS2203 순중량을 1t≈1kL로 환산,국세청/e-나라지표 + UN Comtrade
무·비알코올 맥주 시장,시장규모,2023,644,억원,Euromonitor 인용 기사,추정 보도,2027년 1000억원 전망 자료와 함께 보도,녹색경제신문/서울경제 등
무·비알코올 맥주 시장,시장규모 전망,2027,1000,억원,Euromonitor 인용 기사,전망,실측 아님; 성장 시나리오용,녹색경제신문
Cass 0.0,제품별 판매량/점유율,2025,미공개,-,공개자료 조사 결과,미확인,2023년 초 1위였다는 보도와 2025H1 하이트제로 37.5% 1위 보도만 확인,BizWatch/뉴시스 등
Hite Zero 0.00,무·비알코올 시장 점유율,2025H1,37.5,% 판매액 기준,닐슨IQ코리아 인용 기사,공개 실측 보도,전국 식품 소매점 기준,서울경제 2026-03-09 등
