month,korea_cpi_generated_index_2020_01_100,korea_cpi_generated_yoy_pct,korea_annual_cpi_inflation_anchor_pct,imported_beer_unit_value_usd_per_kg,imported_beer_unit_value_yoy_pct,google_trends_inflation_m物가,google_trends_dining_price,google_trends_beer_price,google_trends_alcohol_price,google_trends_consumer_sentiment,price_pressure_search_index,ob_major_price_increase_event_dummy,months_since_ob_price_event_cap6,economic_price_data_source_note
2020-01,100.0,,0.5,0.8233,,41.0,0.0,5.0,2.0,0.0,48.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-02,100.042,,0.5,0.7972,,36.0,0.0,3.0,1.0,1.0,40.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-03,100.083,,0.5,0.7912,,36.0,0.0,3.0,1.0,2.0,40.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-04,100.125,,0.5,0.761,,30.0,0.0,3.0,1.0,1.0,34.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-05,100.166,,0.5,0.7784,,36.0,0.0,4.0,1.0,1.0,41.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-06,100.208,,0.5,0.7904,,39.0,0.0,4.0,2.0,2.0,45.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-07,100.25,,0.5,0.8226,,35.0,0.0,5.0,1.0,1.0,41.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-08,100.291,,0.5,0.8298,,38.0,0.0,4.0,2.0,1.0,44.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-09,100.333,,0.5,0.8223,,35.0,0.0,3.0,1.0,1.0,39.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-10,100.375,,0.5,0.8712,,35.0,0.0,3.0,1.0,1.0,39.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-11,100.416,,0.5,0.863,,32.0,0.0,4.0,2.0,2.0,38.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-12,100.458,,0.5,0.8731,,31.0,0.0,3.0,2.0,0.0,36.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-01,100.665,0.665,2.5,0.8251,0.215,38.0,0.0,3.0,2.0,0.0,43.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-02,100.873,0.831,2.5,0.8656,8.58,36.0,0.0,3.0,3.0,0.0,42.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-03,101.08,0.996,2.5,0.8535,7.87,38.0,0.0,3.0,2.0,1.0,43.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-04,101.289,1.162,2.5,0.8805,15.702,39.0,0.0,4.0,2.0,1.0,45.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-05,101.497,1.329,2.5,0.869,11.64,41.0,0.0,4.0,2.0,1.0,47.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-06,101.706,1.495,2.5,0.8978,13.584,50.0,0.0,4.0,2.0,1.0,56.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-07,101.916,1.662,2.5,0.877,6.612,37.0,0.0,3.0,2.0,1.0,42.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-08,102.126,1.829,2.5,0.8482,2.219,36.0,0.0,3.0,2.0,1.0,41.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
