month,year,days_in_month,weekend_days,public_holiday_count_kr,public_holiday_weekday_count_kr,nonworking_days_weekend_or_holiday,longest_consecutive_nonwork_days,long_weekend_3plus_days_in_month,holiday_names_kr,is_summer_peak_jun_aug,is_vacation_peak_jul_aug,kbo_regular_games,kbo_regular_game_days,is_kbo_regular_season,kbo_postseason_games,kbo_postseason_game_days,is_kbo_postseason,sports_major_event_days,is_sports_major_event_month,olympics_days,fifa_world_cup_days,asian_games_days,sports_major_event_names,regional_festival_count_planned,regional_festival_days_est,regional_festival_offline_or_hybrid_count,regional_festival_offline_or_hybrid_days_est,regional_festival_vague_date_count,beer_festival_count_keyword,beer_festival_days_est_keyword,beer_festival_offline_or_hybrid_count_keyword,events_data_source_note
2020-01,2020,31,8,5,3,11,4,4,2020-01-01 신정연휴; 2020-01-24 설날 전날; 2020-01-25 설날; 2020-01-26 설날 다음날; 2020-01-27 설날 대체 휴일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,24,260,22,244,2,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-02,2020,29,9,0,0,9,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,none,16,108,9,85,1,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-03,2020,31,9,1,0,9,2,0,2020-03-01 삼일절,0,0,0,0,0,0,0,0,0,0,0,0,0,none,32,99,2,5,9,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-04,2020,30,8,2,2,10,2,0,2020-04-15 국회의원 선거일; 2020-04-30 부처님오신날,0,0,0,0,0,0,0,0,0,0,0,0,0,none,130,480,4,36,58,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-05,2020,31,10,1,1,11,2,0,2020-05-05 어린이날,0,0,117,24,1,0,0,0,0,0,0,0,0,none,163,666,11,86,44,1,2,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-06,2020,30,8,1,0,8,2,0,2020-06-06 현충일,1,0,121,25,1,0,0,0,0,0,0,0,0,none,52,201,5,23,20,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-07,2020,31,8,0,0,8,2,0,none,1,1,116,27,1,0,0,0,0,0,0,0,0,none,72,182,5,33,39,6,13,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-08,2020,31,10,2,1,11,3,3,2020-08-15 광복절; 2020-08-17 임시공휴일,1,1,119,27,1,0,0,0,0,0,0,0,0,none,92,195,12,28,56,3,7,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-09,2020,30,8,1,1,9,5,1,2020-09-30 추석 전날,0,0,128,27,1,0,0,0,0,0,0,0,0,none,139,369,19,88,85,2,4,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-10,2020,31,9,4,3,12,5,7,2020-10-01 추석; 2020-10-02 추석 다음날; 2020-10-03 개천절; 2020-10-09 한글날,0,0,119,27,1,0,0,0,0,0,0,0,0,none,277,786,35,115,137,1,1,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-11,2020,30,9,0,0,9,2,0,none,0,0,0,0,0,13,13,1,0,0,0,0,0,none,48,97,8,35,24,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2020-12,2020,31,8,1,1,9,3,3,2020-12-25 기독탄신일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,41,142,32,133,21,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-01,2021,31,10,1,1,11,3,3,2021-01-01 신정연휴,0,0,0,0,0,0,0,0,0,0,0,0,0,none,13,118,11,105,3,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-02,2021,28,8,3,2,10,4,6,2021-02-11 설날 전날; 2021-02-12 설날; 2021-02-13 설날 다음날,0,0,0,0,0,0,0,0,0,0,0,0,0,none,11,59,9,51,3,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-03,2021,31,8,1,1,9,3,1,2021-03-01 삼일절,0,0,0,0,0,0,0,0,0,0,0,0,0,none,34,102,32,100,20,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-04,2021,30,8,0,0,8,2,0,none,0,0,116,24,1,0,0,0,0,0,0,0,0,none,118,328,117,325,66,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-05,2021,31,10,2,2,12,2,0,2021-05-05 어린이날; 2021-05-19 부처님오신날,0,0,113,25,1,0,0,0,0,0,0,0,0,none,151,520,147,508,73,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-06,2021,30,8,1,0,8,2,0,2021-06-06 현충일,1,0,123,26,1,0,0,0,0,0,0,0,0,none,65,274,64,273,37,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-07,2021,31,9,0,0,9,2,0,none,1,1,33,10,1,0,0,0,9,1,9,0,0,Tokyo 2020 Summer Olympics (held 2021),78,273,77,272,50,3,3,3,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
