month,year,data_status,alcoholic_beer_total_proxy_kl,regular_beer_excluding_low_calorie_proxy_kl,low_calorie_light_beer_proxy_kl,nonalcoholic_beer_proxy_kl,nonalcoholic_beer_market_value_proxy_million_krw,cass_fresh_proxy_kl,cass_light_proxy_kl,cass_0_0_or_all_zero_proxy_kl,alcoholic_total_annual_anchor_kl,low_calorie_share_assumption,cass_fresh_share_assumption,cass_light_share_assumption,cass_zero_share_of_na_assumption,monthly_weight_total_beer,monthly_weight_low_calorie,monthly_weight_nonalc,hs2203_import_kg_actual,hs2203_export_kg_actual,google_trends_beer,google_trends_imported_beer,google_trends_nonalc_beer,google_trends_cass_beer,google_trends_cass_light,google_trends_cass_zero_terms,generation_formula_note,seoul_avg_temp_c,seoul_avg_max_temp_c,seoul_precipitation_mm,seoul_hot_days_30c,seoul_rain_days,days_in_month,weekend_days,public_holiday_count_kr_approx,is_summer_peak_jun_aug,is_kbo_regular_season,weather__year,month_num,quarter,weather__days_in_month,month_sin_annual,month_cos_annual,is_winter_dec_feb,is_spring_mar_may,is_summer_jun_aug,is_autumn_sep_nov,is_summer_peak_jul_aug,is_year_end_nov_dec,is_school_vacation_approx_jan_feb_jul_aug,weather__seoul_avg_temp_c,weather__seoul_avg_max_temp_c,seoul_avg_min_temp_c,seoul_month_max_temp_c,seoul_month_min_temp_c,seoul_avg_apparent_temp_c,seoul_avg_max_apparent_temp_c,seoul_avg_min_apparent_temp_c,seoul_month_max_apparent_temp_c,weather__seoul_precipitation_mm,seoul_rain_mm,seoul_snowfall_cm,seoul_precipitation_hours,seoul_wet_days_0_1mm,seoul_rain_days_1mm,seoul_heavy_rain_days_30mm,seoul_very_heavy_rain_days_80mm,seoul_dry_days_lt1mm,weather__seoul_hot_days_30c,seoul_heatwave_warning_days_33c,seoul_tropical_nights_25c,seoul_freezing_days_min_lt0c,seoul_ice_days_max_lt0c,seoul_cold_wave_days_min_le_minus12c,seoul_apparent_heat_days_32c,seoul_cooling_degree_days_18c,seoul_heating_degree_days_18c,seoul_cooling_degree_days_26c,seoul_wind_speed_mean_kmh_daily,seoul_wind_speed_max_kmh_daily,seoul_wind_gust_max_kmh,seoul_shortwave_radiation_mj_m2_sum,seoul_shortwave_radiation_mj_m2_daily_mean,seoul_daylight_hours_sum,seoul_sunshine_hours_sum,seoul_relative_humidity_mean_pct,seoul_relative_humidity_min_pct,seoul_relative_humidity_max_pct,seoul_hourly_temp_p95_c,seoul_hourly_apparent_temp_p95_c,seoul_hourly_wind_speed_mean_kmh,seoul_hourly_wind_speed_p95_kmh,seoul_air_no2_ppm,seoul_air_o3_ppm,seoul_air_co_ppm,seoul_air_so2_ppm,seoul_pm10_ug_m3,seoul_pm25_ug_m3,seoul_pm10_month_avg_bad_flag_gt80,seoul_pm25_month_avg_bad_flag_gt35,air_quality_station_nm,air_quality_missing_flag,data_source_weather,data_source_air_quality,events__year,events__days_in_month,events__weekend_days,public_holiday_count_kr,public_holiday_weekday_count_kr,nonworking_days_weekend_or_holiday,longest_consecutive_nonwork_days,long_weekend_3plus_days_in_month,holiday_names_kr,events__is_summer_peak_jun_aug,is_vacation_peak_jul_aug,kbo_regular_games,kbo_regular_game_days,events__is_kbo_regular_season,kbo_postseason_games,kbo_postseason_game_days,is_kbo_postseason,sports_major_event_days,is_sports_major_event_month,olympics_days,fifa_world_cup_days,asian_games_days,sports_major_event_names,regional_festival_count_planned,regional_festival_days_est,regional_festival_offline_or_hybrid_count,regional_festival_offline_or_hybrid_days_est,regional_festival_vague_date_count,beer_festival_count_keyword,beer_festival_days_est_keyword,beer_festival_offline_or_hybrid_count_keyword,events_data_source_note,news_beer_general_count,news_cass_ob_count,news_nonalc_count,news_weather_demand_count,news_festival_beer_count,news_regulation_health_price_count,news_beer_general_positive_keyword_count,news_beer_general_negative_keyword_count,news_cass_ob_positive_keyword_count,news_cass_ob_negative_keyword_count,news_nonalc_positive_keyword_count,news_nonalc_negative_keyword_count,news_weather_demand_positive_keyword_count,news_weather_demand_negative_keyword_count,news_festival_beer_positive_keyword_count,news_festival_beer_negative_keyword_count,news_regulation_health_price_positive_keyword_count,news_regulation_health_price_negative_keyword_count,news_health_trend_title_count,news_price_regulation_title_count,news_weather_title_count,news_event_title_count,news_total_index,news_sentiment_balance_proxy,news_data_source_note,korea_cpi_generated_index_2020_01_100,korea_cpi_generated_yoy_pct,korea_annual_cpi_inflation_anchor_pct,imported_beer_unit_value_usd_per_kg,imported_beer_unit_value_yoy_pct,google_trends_inflation_m物가,google_trends_dining_price,google_trends_beer_price,google_trends_alcohol_price,google_trends_consumer_sentiment,price_pressure_search_index,ob_major_price_increase_event_dummy,months_since_ob_price_event_cap6,economic_price_data_source_note
2020-01,2020,official_annual_disaggregated,139020.5,137885.3,1135.2,63.1,252.3,56998.4,1135.2,12.6,1735600.0,0.024,0.41,0.024,0.2,0.080099,0.027252,0.009009,20988337.9,9005071.14,64.0,1.0,0.0,53.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,-0.16,4.84,63.9,0,7,31,8,4,0,0,2020,1,1,31,0.5,0.866,1,0,0,0,0,0,1,-0.1581,4.8419,-3.8323,10.2,-7.6,-4.1968,0.4194,-7.9097,5.9,63.9,63.3,0.42,67.0,7,4,1,0,27,0,0,0,28,1,0,0,0.0,562.9,0.0,8.629,29.8,59.4,264.55,8.5339,306.6015,218.3008,68.8401,24,99,6.6,3.185,8.6247,18.8,0.032,0.014,0.7,0.004,42.0,34.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,31,8,5,3,11,4,4,2020-01-01 신정연휴; 2020-01-24 설날 전날; 2020-01-25 설날; 2020-01-26 설날 다음날; 2020-01-27 설날 대체 휴일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,24,260,22,244,2,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,86,20,4,16,0,39,15,5,5,1,0,0,5,1,0,0,3,1,6,22,0,0,165,20,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.0,,0.5,0.8233,,41.0,0.0,5.0,2.0,0.0,48.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-02,2020,official_annual_disaggregated,138382.0,130253.5,8128.5,630.6,2522.5,56736.6,8128.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.079732,0.195141,0.09009,21754888.82,12251106.52,63.0,1.0,1.0,47.0,22.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,0.8,6.0,60.0,0,9,29,9,0,0,0,2020,2,1,29,0.866,0.5,1,0,0,0,0,0,1,0.8034,5.9966,-3.3621,14.3,-11.9,-3.1621,2.0931,-7.4172,12.5,60.0,55.5,3.15,74.0,9,8,0,0,21,0,0,0,22,3,0,0,0.0,498.7,0.0,9.5966,32.4,67.3,323.85,11.1672,313.2692,223.6002,68.8218,13,100,9.5,6.55,9.5948,20.375,0.029,0.018,0.6,0.003,40.0,32.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,29,9,0,0,9,2,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,none,16,108,9,85,1,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,61,15,4,8,0,43,7,2,3,0,1,1,0,0,0,0,6,2,10,4,2,2,131,12,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.042,,0.5,0.7972,,36.0,0.0,3.0,1.0,1.0,40.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-03,2020,official_annual_disaggregated,130673.2,129624.2,1049.0,630.6,2522.5,53576.0,1049.0,126.1,1735600.0,0.024,0.41,0.024,0.2,0.07529,0.025183,0.09009,21142447.72,12389492.06,59.0,1.0,1.0,37.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,5.45,11.31,17.6,0,8,31,9,0,0,0,2020,3,1,31,1.0,0.0,0,1,0,0,0,0,0,5.4548,11.3065,-0.0774,19.5,-5.4,1.671,7.9129,-4.2452,18.1,17.6,17.5,0.07,47.0,8,5,0,0,26,0,0,0,15,0,0,0,0.0,388.9,0.0,11.2581,38.9,77.8,526.38,16.98,371.2898,304.4086,63.4503,21,99,14.4,12.0,11.2587,23.17,0.025,0.025,0.5,0.003,41.0,28.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,31,9,1,0,9,2,0,2020-03-01 삼일절,0,0,0,0,0,0,0,0,0,0,0,0,0,none,32,99,2,5,9,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,54,19,5,10,0,41,5,1,3,0,1,0,2,0,0,0,1,2,4,1,0,0,129,9,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.083,,0.5,0.7912,,36.0,0.0,3.0,1.0,2.0,40.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-04,2020,official_annual_disaggregated,128159.9,127145.4,1014.5,630.6,2522.5,52545.6,1014.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.073842,0.024356,0.09009,21793328.71,6565307.18,57.0,1.0,1.0,49.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,9.61,15.51,24.4,0,6,30,8,2,0,1,2020,4,2,30,0.866,-0.5,0,1,0,0,0,0,0,9.6133,15.51,4.2033,23.4,-1.4,6.0333,11.6533,0.81,20.4,24.4,24.4,0.0,31.0,6,3,0,0,27,0,0,0,1,0,0,0,0.0,251.6,0.0,12.7667,38.2,74.2,595.86,19.862,395.5437,319.3783,58.0653,12,100,17.905,14.2,12.7649,26.2,0.02,0.031,0.4,0.003,39.0,23.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,30,8,2,2,10,2,0,2020-04-15 국회의원 선거일; 2020-04-30 부처님오신날,0,0,0,0,0,0,0,0,0,0,0,0,0,none,130,480,4,36,58,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,81,31,10,26,0,44,18,4,7,5,2,0,13,0,0,0,11,5,11,1,2,9,192,37,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.125,,0.5,0.761,,30.0,0.0,3.0,1.0,1.0,34.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-05,2020,official_annual_disaggregated,165546.5,164204.5,1342.0,630.6,2522.5,67874.1,1342.0,126.1,1735600.0,0.024,0.41,0.024,0.2,0.095383,0.032218,0.09009,25251702.63,5743731.66,76.0,1.0,1.0,56.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,16.52,21.98,114.5,0,18,31,10,2,0,1,2020,5,2,31,0.5,-0.866,0,1,0,0,0,0,0,16.5194,21.9806,12.1935,27.5,8.1,15.6548,21.3806,11.0871,28.7,114.5,114.5,0.0,122.0,18,11,1,0,20,0,0,0,0,0,0,0,10.2,56.1,0.0,9.6968,28.8,54.7,558.9,18.029,440.2879,261.1382,72.8172,13,99,24.5,23.785,9.7027,21.1,0.021,0.029,0.4,0.003,32.0,19.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,31,10,1,1,11,2,0,2020-05-05 어린이날,0,0,117,24,1,0,0,0,0,0,0,0,0,none,163,666,11,86,44,1,2,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,88,22,3,35,0,48,20,3,5,1,1,0,12,1,0,0,8,9,4,4,13,5,196,32,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.166,,0.5,0.7784,,36.0,0.0,4.0,1.0,1.0,41.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-06,2020,official_annual_disaggregated,174357.1,167605.1,6752.0,630.6,2522.5,71486.4,6752.0,126.1,1735600.0,0.024,0.41,0.024,0.2,0.100459,0.162095,0.09009,31539269.94,10151927.3,76.0,1.0,1.0,68.0,17.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,22.22,27.33,139.8,7,17,30,8,0,1,1,2020,6,2,30,0.0,-1.0,0,0,1,0,0,0,0,22.2167,27.3267,18.1733,34.2,12.2,23.5033,28.9933,19.5933,36.0,139.8,139.8,0.0,117.0,17,10,2,0,20,7,1,0,0,0,0,7,128.6,2.1,1.0,9.06,32.1,59.4,592.13,19.7377,441.4187,274.6741,73.6306,31,99,29.4,31.1,9.0585,20.405,0.021,0.037,0.4,0.003,33.0,22.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,30,8,1,0,8,2,0,2020-06-06 현충일,1,0,121,25,1,0,0,0,0,0,0,0,0,none,52,201,5,23,20,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,172,34,16,42,0,37,37,8,6,4,5,0,17,6,0,0,8,2,38,3,23,11,301,53,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.208,,0.5,0.7904,,39.0,0.0,4.0,2.0,2.0,45.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-07,2020,official_annual_disaggregated,179598.9,178170.7,1428.2,630.6,2522.5,73635.6,1428.2,126.1,1735600.0,0.024,0.41,0.024,0.2,0.103479,0.034287,0.09009,29168920.95,13583492.01,81.0,1.0,1.0,53.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,22.65,26.29,330.5,1,26,31,8,0,1,1,2020,7,3,31,-0.5,-0.866,0,0,1,0,1,0,1,22.6484,26.2871,19.571,30.5,16.7,24.9,28.9935,21.3,33.3,330.5,330.5,0.0,288.0,26,21,3,1,10,1,0,0,0,0,0,3,144.1,0.0,0.0,9.6742,38.5,79.6,463.28,14.9445,448.1755,214.2685,82.7406,47,100,27.6,30.485,9.6669,22.785,0.017,0.031,0.4,0.003,20.0,15.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,31,8,0,0,8,2,0,none,1,1,116,27,1,0,0,0,0,0,0,0,0,none,72,182,5,33,39,6,13,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,153,52,14,49,0,41,31,8,15,3,6,1,12,7,0,0,5,8,28,13,13,11,309,42,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.25,,0.5,0.8226,,35.0,0.0,5.0,1.0,1.0,41.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-08,2020,official_annual_disaggregated,161547.8,160240.3,1307.5,630.6,2522.5,66234.6,1307.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.093079,0.03139,0.09009,24842510.54,7543874.85,74.0,1.0,1.0,67.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,25.36,28.38,548.0,6,28,31,10,1,1,1,2020,8,3,31,-0.866,-0.5,0,0,1,0,1,0,1,25.3613,28.3839,23.1387,32.2,20.9,29.4839,32.9419,26.8258,36.7,548.0,548.0,0.0,375.0,28,21,7,1,10,6,0,2,0,0,0,19,228.2,0.0,6.5,11.0161,39.3,86.8,408.82,13.1877,420.6193,217.5629,88.7715,58,100,29.4,34.3,11.0187,24.155,0.017,0.019,0.4,0.003,23.0,18.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,31,10,2,1,11,3,3,2020-08-15 광복절; 2020-08-17 임시공휴일,1,1,119,27,1,0,0,0,0,0,0,0,0,none,92,195,12,28,56,3,7,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,98,29,6,48,0,48,22,4,7,2,0,0,10,7,0,0,5,5,16,8,22,9,229,26,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.291,,0.5,0.8298,,38.0,0.0,4.0,2.0,1.0,44.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-09,2020,official_annual_disaggregated,129222.1,128207.6,1014.5,630.6,2522.5,52981.1,1014.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.074454,0.024356,0.09009,22551368.1,8662842.41,57.0,1.0,1.0,47.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,19.57,23.47,215.6,0,17,30,8,1,0,1,2020,9,3,30,-1.0,-0.0,0,0,0,1,0,0,0,19.5667,23.4667,16.1567,28.0,10.9,20.12,24.17,16.1833,32.3,215.6,215.6,0.0,176.0,17,13,3,0,17,0,0,0,0,0,0,1,52.9,5.9,0.0,10.55,39.3,77.8,434.23,14.4743,372.4405,252.2482,79.2403,44,100,24.6,26.805,10.5514,26.11,0.019,0.03,0.4,0.002,21.0,13.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,30,8,1,1,9,5,1,2020-09-30 추석 전날,0,0,128,27,1,0,0,0,0,0,0,0,0,none,139,369,19,88,85,2,4,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,85,21,6,35,0,36,13,1,4,0,2,0,5,4,0,0,7,4,10,4,4,0,183,22,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.333,,0.5,0.8223,,35.0,0.0,3.0,1.0,1.0,39.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2020-10,2020,official_annual_disaggregated,125017.7,114397.3,10620.4,630.6,2522.5,51257.3,10620.4,126.1,1735600.0,0.024,0.41,0.024,0.2,0.072031,0.254966,0.09009,17106514.29,6663978.94,59.0,1.0,1.0,45.0,30.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,12.57,17.83,11.7,0,7,31,9,4,0,0,2020,10,4,31,-0.866,0.5,0,0,0,1,0,0,0,12.5742,17.829,7.7161,22.5,2.3,10.571,15.6258,5.3613,23.1,11.7,11.7,0.0,23.0,7,3,0,0,28,0,0,0,0,0,0,0,0.4,168.6,0.0,8.8226,29.3,52.9,419.96,13.5471,347.6118,278.7901,68.1922,26,100,19.9,19.2,8.8347,19.1,0.025,0.024,0.5,0.003,40.0,19.0,0,0,중구,0,Open-Meteo Historical Weather API; Seoul City Hall coordinates; ERA5/ECMWF reanalysis/model archive,Seoul Open Data MonthlyAverageAirQuality API; station=중구; sample-key one-station query,2020,31,9,4,3,12,5,7,2020-10-01 추석; 2020-10-02 추석 다음날; 2020-10-03 개천절; 2020-10-09 한글날,0,0,119,27,1,0,0,0,0,0,0,0,0,none,277,786,35,115,137,1,1,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.,92,26,12,12,0,46,23,1,12,0,6,0,3,0,0,0,6,0,32,5,0,5,188,49,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.,100.375,,0.5,0.8712,,35.0,0.0,3.0,1.0,1.0,39.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
