month,year,data_status,alcoholic_beer_total_proxy_kl,regular_beer_excluding_low_calorie_proxy_kl,low_calorie_light_beer_proxy_kl,nonalcoholic_beer_proxy_kl,nonalcoholic_beer_market_value_proxy_million_krw,cass_fresh_proxy_kl,cass_light_proxy_kl,cass_0_0_or_all_zero_proxy_kl,alcoholic_total_annual_anchor_kl,low_calorie_share_assumption,cass_fresh_share_assumption,cass_light_share_assumption,cass_zero_share_of_na_assumption,monthly_weight_total_beer,monthly_weight_low_calorie,monthly_weight_nonalc,hs2203_import_kg_actual,hs2203_export_kg_actual,google_trends_beer,google_trends_imported_beer,google_trends_nonalc_beer,google_trends_cass_beer,google_trends_cass_light,google_trends_cass_zero_terms,generation_formula_note,seoul_avg_temp_c,seoul_avg_max_temp_c,seoul_precipitation_mm,seoul_hot_days_30c,seoul_rain_days,days_in_month,weekend_days,public_holiday_count_kr_approx,is_summer_peak_jun_aug,is_kbo_regular_season
2020-01,2020,official_annual_disaggregated,139020.5,137885.3,1135.2,63.1,252.3,56998.4,1135.2,12.6,1735600.0,0.024,0.41,0.024,0.2,0.080099,0.027252,0.009009,20988337.9,9005071.14,64.0,1.0,0.0,53.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,-0.16,4.84,63.9,0,7,31,8,4,0,0
2020-02,2020,official_annual_disaggregated,138382.0,130253.5,8128.5,630.6,2522.5,56736.6,8128.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.079732,0.195141,0.09009,21754888.82,12251106.52,63.0,1.0,1.0,47.0,22.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,0.8,6.0,60.0,0,9,29,9,0,0,0
2020-03,2020,official_annual_disaggregated,130673.2,129624.2,1049.0,630.6,2522.5,53576.0,1049.0,126.1,1735600.0,0.024,0.41,0.024,0.2,0.07529,0.025183,0.09009,21142447.72,12389492.06,59.0,1.0,1.0,37.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,5.45,11.31,17.6,0,8,31,9,0,0,0
2020-04,2020,official_annual_disaggregated,128159.9,127145.4,1014.5,630.6,2522.5,52545.6,1014.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.073842,0.024356,0.09009,21793328.71,6565307.18,57.0,1.0,1.0,49.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,9.61,15.51,24.4,0,6,30,8,2,0,1
2020-05,2020,official_annual_disaggregated,165546.5,164204.5,1342.0,630.6,2522.5,67874.1,1342.0,126.1,1735600.0,0.024,0.41,0.024,0.2,0.095383,0.032218,0.09009,25251702.63,5743731.66,76.0,1.0,1.0,56.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,16.52,21.98,114.5,0,18,31,10,2,0,1
2020-06,2020,official_annual_disaggregated,174357.1,167605.1,6752.0,630.6,2522.5,71486.4,6752.0,126.1,1735600.0,0.024,0.41,0.024,0.2,0.100459,0.162095,0.09009,31539269.94,10151927.3,76.0,1.0,1.0,68.0,17.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,22.22,27.33,139.8,7,17,30,8,0,1,1
2020-07,2020,official_annual_disaggregated,179598.9,178170.7,1428.2,630.6,2522.5,73635.6,1428.2,126.1,1735600.0,0.024,0.41,0.024,0.2,0.103479,0.034287,0.09009,29168920.95,13583492.01,81.0,1.0,1.0,53.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,22.65,26.29,330.5,1,26,31,8,0,1,1
2020-08,2020,official_annual_disaggregated,161547.8,160240.3,1307.5,630.6,2522.5,66234.6,1307.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.093079,0.03139,0.09009,24842510.54,7543874.85,74.0,1.0,1.0,67.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,25.36,28.38,548.0,6,28,31,10,1,1,1
2020-09,2020,official_annual_disaggregated,129222.1,128207.6,1014.5,630.6,2522.5,52981.1,1014.5,126.1,1735600.0,0.024,0.41,0.024,0.2,0.074454,0.024356,0.09009,22551368.1,8662842.41,57.0,1.0,1.0,47.0,0.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,19.57,23.47,215.6,0,17,30,8,1,0,1
2020-10,2020,official_annual_disaggregated,125017.7,114397.3,10620.4,630.6,2522.5,51257.3,10620.4,126.1,1735600.0,0.024,0.41,0.024,0.2,0.072031,0.254966,0.09009,17106514.29,6663978.94,59.0,1.0,1.0,45.0,30.0,0.0,Annual beer market anchored to e-Nara/NTS+Comtrade apparent market; monthly split = normalized blend of HS2203 import kg and Google Trends beer. Low-cal and nonalc segments are generated from observed market anchors and Google Trends seasonality.,12.57,17.83,11.7,0,7,31,9,4,0,0
