date,카스 맥주,카스 라이트,카스 0.0,카스 제로,카스 올제로,isPartial
2020-01-01,53,0,0,0,0,False
2020-02-01,47,22,0,0,0,False
2020-03-01,37,0,0,0,0,False
2020-04-01,49,0,0,0,0,False
2020-05-01,56,0,0,0,0,False
2020-06-01,68,17,0,0,0,False
2020-07-01,53,0,0,0,0,False
2020-08-01,67,0,0,0,0,False
2020-09-01,47,0,0,0,0,False
2020-10-01,45,30,0,0,0,False
2020-11-01,66,18,0,0,0,False
2020-12-01,50,0,0,17,0,False
2021-01-01,46,0,0,0,0,False
2021-02-01,57,0,0,0,0,False
2021-03-01,43,0,0,0,0,False
2021-04-01,65,0,0,0,0,False
2021-05-01,67,18,0,0,0,False
2021-06-01,63,22,0,0,0,False
2021-07-01,70,0,0,17,0,False
2021-08-01,66,0,0,0,0,False
2021-09-01,23,0,0,0,0,False
2021-10-01,46,0,0,0,0,False
2021-11-01,41,0,0,0,0,False
2021-12-01,44,0,0,0,0,False
2022-01-01,56,0,0,0,0,False
2022-02-01,51,0,0,0,0,False
2022-03-01,58,0,0,0,0,False
2022-04-01,71,0,18,0,0,False
2022-05-01,58,19,0,0,0,False
2022-06-01,67,17,0,15,0,False
2022-07-01,92,0,0,29,0,False
2022-08-01,75,27,0,21,0,False
2022-09-01,73,0,0,0,0,False
2022-10-01,73,21,0,0,0,False
2022-11-01,99,0,0,15,0,False
2022-12-01,62,15,0,16,0,False
2023-01-01,39,19,0,0,0,False
2023-02-01,60,0,0,0,0,False
2023-03-01,61,26,0,16,0,False
2023-04-01,91,17,0,19,0,False
2023-05-01,68,0,0,13,0,False
2023-06-01,70,24,0,0,0,False
2023-07-01,64,0,0,0,0,False
2023-08-01,66,0,0,0,0,False
2023-09-01,75,18,0,0,0,False
2023-10-01,57,12,0,13,0,False
2023-11-01,53,13,0,0,0,False
2023-12-01,71,19,0,0,0,False
2024-01-01,41,15,0,0,0,False
2024-02-01,54,13,0,12,0,False
2024-03-01,48,40,0,22,0,False
2024-04-01,34,22,0,20,0,False
2024-05-01,87,21,0,20,0,False
2024-06-01,55,15,0,30,0,False
2024-07-01,78,21,0,33,0,False
2024-08-01,90,31,0,41,0,False
2024-09-01,73,22,0,14,0,False
2024-10-01,61,20,0,23,0,False
2024-11-01,58,17,0,21,0,False
2024-12-01,85,16,0,35,0,False
2025-01-01,57,0,0,27,0,False
2025-02-01,65,19,0,25,0,False
2025-03-01,71,23,0,25,0,False
2025-04-01,92,26,0,32,0,False
2025-05-01,59,26,0,38,0,False
2025-06-01,74,19,19,36,0,False
2025-07-01,91,20,17,68,0,False
2025-08-01,100,21,25,37,0,False
2025-09-01,92,25,17,43,0,False
2025-10-01,95,28,0,45,0,False
2025-11-01,90,22,0,52,23,False
2025-12-01,97,24,0,34,0,False
2026-01-01,84,21,19,33,16,False
2026-02-01,66,15,0,42,16,False
2026-03-01,74,34,0,62,30,False
2026-04-01,91,34,0,55,16,False
2026-05-01,77,33,7,64,26,True
