date,물가,외식 물가,맥주 가격,주류 가격,소비심리,isPartial
2020-01-01,41,0,5,2,0,False
2020-02-01,36,0,3,1,1,False
2020-03-01,36,0,3,1,2,False
2020-04-01,30,0,3,1,1,False
2020-05-01,36,0,4,1,1,False
2020-06-01,39,0,4,2,2,False
2020-07-01,35,0,5,1,1,False
2020-08-01,38,0,4,2,1,False
2020-09-01,35,0,3,1,1,False
2020-10-01,35,0,3,1,1,False
2020-11-01,32,0,4,2,2,False
2020-12-01,31,0,3,2,0,False
2021-01-01,38,0,3,2,0,False
2021-02-01,36,0,3,3,0,False
2021-03-01,38,0,3,2,1,False
2021-04-01,39,0,4,2,1,False
2021-05-01,41,0,4,2,1,False
2021-06-01,50,0,4,2,1,False
2021-07-01,37,0,3,2,1,False
2021-08-01,36,0,3,2,1,False
2021-09-01,39,0,2,2,1,False
2021-10-01,45,0,3,1,1,False
2021-11-01,51,0,3,2,2,False
2021-12-01,56,0,3,3,1,False
2022-01-01,73,0,4,3,1,False
2022-02-01,73,0,4,2,0,False
2022-03-01,72,0,5,2,1,False
2022-04-01,97,0,5,3,1,False
2022-05-01,95,0,6,3,1,False
2022-06-01,100,0,5,3,2,False
2022-07-01,95,0,5,2,1,False
2022-08-01,81,0,5,3,1,False
2022-09-01,93,0,5,3,2,False
2022-10-01,86,0,5,2,2,False
2022-11-01,84,0,6,2,1,False
2022-12-01,87,0,5,2,1,False
2023-01-01,92,0,4,3,1,False
2023-02-01,92,0,4,3,1,False
2023-03-01,84,0,5,3,2,False
2023-04-01,78,1,6,2,1,False
2023-05-01,75,0,5,2,1,False
2023-06-01,67,0,4,2,1,False
2023-07-01,60,0,5,2,1,False
2023-08-01,57,0,5,2,1,False
2023-09-01,63,0,5,3,1,False
2023-10-01,62,0,4,1,1,False
2023-11-01,69,0,5,2,1,False
2023-12-01,64,0,4,2,1,False
2024-01-01,64,0,4,2,1,False
2024-02-01,60,0,4,2,0,False
2024-03-01,68,0,4,1,1,False
2024-04-01,74,0,4,2,1,False
2024-05-01,70,1,5,2,1,False
2024-06-01,70,0,4,1,1,False
2024-07-01,66,1,5,2,1,False
2024-08-01,66,0,4,2,1,False
2024-09-01,62,1,4,2,1,False
2024-10-01,60,0,4,2,1,False
2024-11-01,70,1,4,2,2,False
2024-12-01,73,0,5,1,1,False
2025-01-01,79,0,5,3,1,False
2025-02-01,72,0,4,2,2,False
2025-03-01,72,0,5,2,1,False
2025-04-01,64,0,5,2,1,False
2025-05-01,58,1,5,2,1,False
2025-06-01,66,0,5,2,1,False
2025-07-01,76,0,6,2,1,False
2025-08-01,75,0,6,2,2,False
2025-09-01,71,0,5,2,1,False
2025-10-01,67,1,5,2,1,False
2025-11-01,85,0,7,4,3,False
2025-12-01,93,1,8,4,2,False
2026-01-01,84,0,7,4,1,False
2026-02-01,76,0,8,4,0,False
2026-03-01,87,1,6,3,2,False
2026-04-01,80,1,5,2,2,False
2026-05-01,79,1,7,3,2,True
