month,seoul_avg_temp_c,seoul_avg_max_temp_c,seoul_precipitation_mm,seoul_hot_days_30c,seoul_rain_days,source
2020-01,-0.16,4.84,63.9,0,7,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-02,0.8,6.0,60.0,0,9,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-03,5.45,11.31,17.6,0,8,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-04,9.61,15.51,24.4,0,6,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-05,16.52,21.98,114.5,0,18,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-06,22.22,27.33,139.8,7,17,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-07,22.65,26.29,330.5,1,26,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-08,25.36,28.38,548.0,6,28,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-09,19.57,23.47,215.6,0,17,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-10,12.57,17.83,11.7,0,7,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-11,6.24,11.1,66.1,0,9,Open-Meteo ERA5/forecast archive for Seoul coordinates
2020-12,-2.17,2.5,2.7,0,4,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-01,-3.87,1.35,16.7,0,11,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-02,0.48,6.5,11.6,0,5,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-03,6.72,12.76,94.7,0,10,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-04,11.94,17.43,91.0,0,12,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-05,15.23,20.35,215.5,0,18,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-06,21.05,25.32,78.2,0,24,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-07,26.44,30.55,130.0,18,22,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-08,24.75,28.4,284.6,11,24,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-09,21.11,25.17,176.8,0,13,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-10,14.01,18.72,67.7,0,18,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-11,6.16,11.4,59.5,0,11,Open-Meteo ERA5/forecast archive for Seoul coordinates
2021-12,-1.26,3.84,11.1,0,9,Open-Meteo ERA5/forecast archive for Seoul coordinates
2022-01,-3.47,1.65,5.6,0,9,Open-Meteo ERA5/forecast archive for Seoul coordinates
2022-02,-2.57,2.89,3.7,0,4,Open-Meteo ERA5/forecast archive for Seoul coordinates
2022-03,5.22,11.39,81.1,0,13,Open-Meteo ERA5/forecast archive for Seoul coordinates
2022-04,12.03,18.4,29.4,0,10,Open-Meteo ERA5/forecast archive for Seoul coordinates
2022-05,17.03,23.34,17.9,0,10,Open-Meteo ERA5/forecast archive for Seoul coordinates
2022-06,21.88,26.64,334.3,3,21,Open-Meteo ERA5/forecast archive for Seoul coordinates
