model,split,n_months,MASE,WAPE,RMSE
seasonal_naive,all_test,24,0.8113731108892956,0.05288516668108476,10253.551431556987
knn,all_test,24,0.9207466349711869,0.06001411509450792,11001.303604666533
extra_trees,all_test,24,1.1178397283550103,0.0728606106899434,12254.137402848733
ridge,all_test,24,1.1185964610466965,0.07290993440303634,12736.903982874835
lasso,all_test,24,1.126397287238227,0.07341839097850394,13010.01274808926
gradient_boosting,all_test,24,1.2281835040394784,0.08005279994415387,14189.854890132845
hist_gradient_boosting,all_test,24,1.4017055923160515,0.09136294128134757,15957.253277320699
random_forest,all_test,24,1.4538739018526348,0.09476326316567614,15867.842255659167
elastic_net,all_test,24,2.4035548451638244,0.1566633117460569,24272.76660324173
svr_rbf,all_test,24,4.4775832287108805,0.29184814261254644,44860.3929347203
mlp,all_test,24,14.942304532787894,0.9739369658798506,145772.77978147272
seasonal_naive,event_months,10,0.9928242112654356,0.050451906864132014,12493.561900209686
knn,event_months,10,1.1425729062395722,0.058061619768122186,12402.67653023783
lasso,event_months,10,1.3692370635347313,0.06957991154982307,15608.771010674307
ridge,event_months,10,1.4362856380255054,0.07298708917220377,15622.677072418815
extra_trees,event_months,10,1.6116742006449305,0.08189973183935916,16438.7893038211
random_forest,event_months,10,1.6909935942542238,0.08593047022535688,18322.74898962271
gradient_boosting,event_months,10,1.7375000686332769,0.08829376907255213,18752.718245989574
hist_gradient_boosting,event_months,10,1.9261406907520215,0.09787983575982223,20279.63912493653
elastic_net,event_months,10,2.4532341979845635,0.12466491234623031,25023.861955988807
svr_rbf,event_months,10,5.066621950754466,0.25746827673493344,50135.48056963611
mlp,event_months,10,19.05020270894293,0.9680656876703271,178989.98078030473
seasonal_naive,normal_months,14,0.6817651820491957,0.055678399577170024,8290.944791441849
knn,normal_months,14,0.7622992983509118,0.062255459868755386,9879.359771448644
extra_trees,normal_months,14,0.7651008195764963,0.062484254507040045,8024.939990675858
gradient_boosting,normal_months,14,0.8643859579010513,0.07059267328415246,9694.634551197987
ridge,normal_months,14,0.8916756203475473,0.07282136546443524,10186.857655698706
lasso,normal_months,14,0.9529403041692955,0.07782472972475636,10776.671352953683
hist_gradient_boosting,normal_months,14,1.027109093433216,0.0838819464813808,11948.032537920593
random_forest,normal_months,14,1.2845026929943568,0.10490276723068265,13850.453120603217
elastic_net,normal_months,14,2.368069593149011,0.19339550992849452,23721.714124234797
svr_rbf,normal_months,14,4.056841284394036,0.33131411811721345,40675.76707740694
mlp,normal_months,14,12.008091549820012,0.9806768328363715,116379.5353904897
