month,final_integrated_ridge_prediction,chronos2_0603_prediction,chronos2_q100,chronos2_q900,final_recommended_prediction
2026-01,109763.02890613224,115066.33,111647.375,117700.86,111354.01923429256
2026-02,108048.78424193262,115163.89,111566.25,117751.58,110183.31596935283
2026-03,115254.8867841082,122795.11,118925.64,124884.805,117516.95374887573
2026-04,129010.48080151356,135821.34,132203.73,137805.05,131053.7385610595
2026-05,144515.9250685421,152441.88,148565.39,154590.12,146893.71154797944
2026-06,157108.3963536819,165911.9,160733.83,168429.81,159749.44744757732
2026-07,165230.30664212457,173734.06,167194.2,176727.75,167781.4326494872
2026-08,166067.6693009039,174322.44,167573.34,177382.47,168544.1005106327
2026-09,158876.11337745556,165586.77,160110.08,168424.23,160889.3103642189
2026-10,144978.75491079336,151563.86,146980.83,153802.75,146954.28643755533
2026-11,129319.91195438128,135224.0,129974.94,137203.78,131091.1383680669
2026-12,115252.53795629911,121619.78,116150.78,124263.766,117162.71056940936
