month,regional_festival_count_planned,regional_festival_days_est,regional_festival_offline_or_hybrid_count,regional_festival_offline_or_hybrid_days_est,regional_festival_vague_date_count,beer_festival_count_keyword,beer_festival_days_est_keyword,beer_festival_offline_or_hybrid_count_keyword
2020-01,24,260,22,244,2,0,0,0
2020-02,16,108,9,85,1,0,0,0
2020-03,32,99,2,5,9,0,0,0
2020-04,130,480,4,36,58,0,0,0
2020-05,163,666,11,86,44,1,2,0
2020-06,52,201,5,23,20,0,0,0
2020-07,72,182,5,33,39,6,13,0
2020-08,92,195,12,28,56,3,7,0
2020-09,139,369,19,88,85,2,4,0
2020-10,277,786,35,115,137,1,1,0
2020-11,48,97,8,35,24,0,0,0
2020-12,41,142,32,133,21,0,0,0
2021-01,13,118,11,105,3,0,0,0
2021-02,11,59,9,51,3,0,0,0
2021-03,34,102,32,100,20,0,0,0
2021-04,118,328,117,325,66,0,0,0
2021-05,151,520,147,508,73,0,0,0
2021-06,65,274,64,273,37,0,0,0
2021-07,78,273,77,272,50,3,3,3
2021-08,121,345,119,341,79,3,3,3
2021-09,171,507,168,499,111,4,7,4
2021-10,297,885,290,862,177,2,2,2
2021-11,62,176,62,176,36,0,0,0
2021-12,42,132,40,129,19,0,0,0
2022-01,13,218,9,168,1,0,0,0
2022-02,17,143,16,142,8,0,0,0
2022-03,33,128,32,127,23,0,0,0
2022-04,121,420,120,419,73,0,0,0
2022-05,124,455,123,453,61,0,0,0
2022-06,59,203,59,203,37,1,1,1
2022-07,63,256,62,255,46,2,2,2
2022-08,97,335,97,335,67,2,2,2
2022-09,122,385,122,385,76,1,2,1
2022-10,305,856,304,851,210,2,2,2
2022-11,55,224,55,224,36,0,0,0
2022-12,35,141,35,141,16,0,0,0
2023-01,24,142,24,142,2,0,0,0
2023-02,20,76,19,72,3,0,0,0
2023-03,50,166,50,166,15,0,0,0
2023-04,156,570,156,570,63,0,0,0
2023-05,175,706,174,705,69,0,0,0
2023-06,72,270,72,270,33,2,3,2
2023-07,64,325,64,325,31,2,4,2
2023-08,97,311,97,311,66,3,4,3
2023-09,157,566,157,566,89,1,1,1
2023-10,349,1020,349,1020,212,2,2,2
2023-11,63,227,63,227,36,0,0,0
2023-12,52,222,52,222,23,0,0,0
2024-01,23,159,23,159,2,0,0,0
2024-02,18,95,18,95,2,0,0,0
2024-03,66,231,66,231,19,0,0,0
2024-04,144,434,144,434,76,0,0,0
2024-05,182,541,182,541,70,2,2,2
2024-06,75,219,75,219,39,4,8,4
2024-07,64,262,64,262,39,1,1,1
2024-08,104,302,104,302,60,3,5,3
2024-09,169,491,169,491,100,2,2,2
2024-10,358,1012,358,1012,226,2,4,2
2024-11,59,176,59,176,33,0,0,0
2024-12,58,260,58,260,25,0,0,0
2025-01,21,191,21,191,1,0,0,0
2025-02,21,81,21,81,1,0,0,0
2025-03,83,324,83,324,17,0,0,0
2025-04,180,710,180,710,53,0,0,0
2025-05,224,996,224,996,58,1,3,1
2025-06,89,465,89,465,21,4,12,4
2025-07,78,418,78,418,40,2,10,2
2025-08,130,509,130,509,69,7,19,7
2025-09,198,868,198,868,70,2,5,2
2025-10,330,1188,330,1188,156,2,2,2
2025-11,88,264,88,264,41,0,0,0
2025-12,48,293,48,293,15,0,0,0
